Epoch,Train Loss,Recall@5,MRR5,Best Epoch for Recall@5,Best Epoch for MRR5,Train Loss,Recall@10,MRR10,Best Epoch for Recall@10,Best Epoch for MRR10,Train Loss,Recall@20,MRR20,Best Epoch for Recall@20,Best Epoch for MRR20
0,"tensor(75753.8125, device='cuda:0', grad_fn=<AddBackward0>)",10.808676307007786,6.376418242491658,0,0,"tensor(75753.8125, device='cuda:0', grad_fn=<AddBackward0>)",15.648498331479422,7.0204380528629695,0,0,"tensor(75753.8125, device='cuda:0', grad_fn=<AddBackward0>)",21.03448275862069,7.392590063597754,0,0
1,"tensor(65920.9219, device='cuda:0', grad_fn=<AddBackward0>)",11.777530589543938,6.8670559881349655,1,1,"tensor(65920.9219, device='cuda:0', grad_fn=<AddBackward0>)",16.624026696329256,7.511368010311278,1,1,"tensor(65920.9219, device='cuda:0', grad_fn=<AddBackward0>)",22.146829810901,7.892821204976695,1,1
2,"tensor(63678.2344, device='cuda:0', grad_fn=<AddBackward0>)",11.993325917686319,6.910845383759733,2,2,"tensor(63678.2344, device='cuda:0', grad_fn=<AddBackward0>)",16.907675194660733,7.5664450800713325,2,2,"tensor(63678.2344, device='cuda:0', grad_fn=<AddBackward0>)",22.439377085650722,7.948751353233026,2,2
3,"tensor(62391.9219, device='cuda:0', grad_fn=<AddBackward0>)",12.03781979977753,6.955784204671856,3,3,"tensor(62391.9219, device='cuda:0', grad_fn=<AddBackward0>)",17.081201334816463,7.6288782068259255,3,3,"tensor(62391.9219, device='cuda:0', grad_fn=<AddBackward0>)",22.629588431590655,8.012452863336716,3,3
4,"tensor(61525.2461, device='cuda:0', grad_fn=<AddBackward0>)",12.173526140155728,7.005209492028179,4,4,"tensor(61525.2461, device='cuda:0', grad_fn=<AddBackward0>)",17.15016685205784,7.667756943340925,4,4,"tensor(61525.2461, device='cuda:0', grad_fn=<AddBackward0>)",22.744160177975527,8.05416954462695,4,4
5,"tensor(60906.1016, device='cuda:0', grad_fn=<AddBackward0>)",12.450500556173525,7.112977382276603,5,5,"tensor(60906.1016, device='cuda:0', grad_fn=<AddBackward0>)",17.382647385984427,7.769711496018504,5,5,"tensor(60906.1016, device='cuda:0', grad_fn=<AddBackward0>)",23.10456062291435,8.163483244782729,5,5
6,"tensor(60390.3047, device='cuda:0', grad_fn=<AddBackward0>)",12.391546162402669,7.09349276974416,5,5,"tensor(60390.3047, device='cuda:0', grad_fn=<AddBackward0>)",17.380422691879865,7.75550876635415,5,5,"tensor(60390.3047, device='cuda:0', grad_fn=<AddBackward0>)",23.07230255839822,8.148338179653676,5,5
7,"tensor(59973.3711, device='cuda:0', grad_fn=<AddBackward0>)",12.278086763070078,7.012569521690769,5,5,"tensor(59973.3711, device='cuda:0', grad_fn=<AddBackward0>)",17.307007786429367,7.680446086480569,5,5,"tensor(59973.3711, device='cuda:0', grad_fn=<AddBackward0>)",23.058954393770854,8.077522570388268,5,5
8,"tensor(59577.7383, device='cuda:0', grad_fn=<AddBackward0>)",12.42825361512792,7.093344456803856,5,5,"tensor(59577.7383, device='cuda:0', grad_fn=<AddBackward0>)",17.378197997775306,7.754003125165528,5,5,"tensor(59577.7383, device='cuda:0', grad_fn=<AddBackward0>)",23.14349276974416,8.15086575484145,8,5
9,"tensor(59266.5078, device='cuda:0', grad_fn=<AddBackward0>)",12.43047830923248,7.110344827586205,5,5,"tensor(59266.5078, device='cuda:0', grad_fn=<AddBackward0>)",17.423804226918797,7.775580450941964,9,9,"tensor(59266.5078, device='cuda:0', grad_fn=<AddBackward0>)",22.99666295884316,8.15826584172648,8,5
