Epoch,Train Loss,Recall@5,MRR5,Best Epoch for Recall@5,Best Epoch for MRR5,Train Loss,Recall@10,MRR10,Best Epoch for Recall@10,Best Epoch for MRR10,Train Loss,Recall@20,MRR20,Best Epoch for Recall@20,Best Epoch for MRR20
0,"tensor(36104.2227, device='cuda:0', grad_fn=<AddBackward0>)",37.88815789473684,26.080811403508775,0,0,"tensor(36104.2227, device='cuda:0', grad_fn=<AddBackward0>)",44.993421052631575,27.035750835421897,0,0,"tensor(36104.2227, device='cuda:0', grad_fn=<AddBackward0>)",52.21052631578947,27.53921530523163,0,0
1,"tensor(32388.4609, device='cuda:0', grad_fn=<AddBackward0>)",38.723684210526315,26.3952850877193,1,1,"tensor(32388.4609, device='cuda:0', grad_fn=<AddBackward0>)",46.421052631578945,27.43040152464495,1,1,"tensor(32388.4609, device='cuda:0', grad_fn=<AddBackward0>)",54.046052631578945,27.95342943268665,1,1
2,"tensor(31660.4375, device='cuda:0', grad_fn=<AddBackward0>)",39.05921052631579,26.372368421052634,2,1,"tensor(31660.4375, device='cuda:0', grad_fn=<AddBackward0>)",46.756578947368425,27.402091165413534,2,1,"tensor(31660.4375, device='cuda:0', grad_fn=<AddBackward0>)",54.61842105263158,27.948694369333527,2,1
3,"tensor(31242.8730, device='cuda:0', grad_fn=<AddBackward0>)",39.098684210526315,26.449013157894736,3,3,"tensor(31242.8730, device='cuda:0', grad_fn=<AddBackward0>)",46.76973684210527,27.477495822890557,3,3,"tensor(31242.8730, device='cuda:0', grad_fn=<AddBackward0>)",54.881578947368425,28.048454954776496,3,3
4,"tensor(30975.0918, device='cuda:0', grad_fn=<AddBackward0>)",39.43421052631579,26.62752192982456,4,4,"tensor(30975.0918, device='cuda:0', grad_fn=<AddBackward0>)",47.24342105263158,27.665980054302423,4,4,"tensor(30975.0918, device='cuda:0', grad_fn=<AddBackward0>)",55.10526315789473,28.21169525592136,4,4
5,"tensor(30801.4863, device='cuda:0', grad_fn=<AddBackward0>)",39.19078947368421,26.569956140350882,4,4,"tensor(30801.4863, device='cuda:0', grad_fn=<AddBackward0>)",47.29605263157895,27.657954782790306,5,4,"tensor(30801.4863, device='cuda:0', grad_fn=<AddBackward0>)",55.14473684210527,28.20059032164448,5,4
6,"tensor(30664.9824, device='cuda:0', grad_fn=<AddBackward0>)",39.19078947368421,26.346820175438594,4,4,"tensor(30664.9824, device='cuda:0', grad_fn=<AddBackward0>)",47.46710526315789,27.457325605680865,6,4,"tensor(30664.9824, device='cuda:0', grad_fn=<AddBackward0>)",55.21052631578948,27.99403986493948,6,4
7,"tensor(30547.5605, device='cuda:0', grad_fn=<AddBackward0>)",39.28947368421053,26.26260964912281,4,4,"tensor(30547.5605, device='cuda:0', grad_fn=<AddBackward0>)",47.526315789473685,27.359484649122805,7,4,"tensor(30547.5605, device='cuda:0', grad_fn=<AddBackward0>)",55.2828947368421,27.8954923317216,7,4
8,"tensor(30385.9727, device='cuda:0', grad_fn=<AddBackward0>)",39.348684210526315,26.315460526315793,4,4,"tensor(30385.9727, device='cuda:0', grad_fn=<AddBackward0>)",47.51315789473684,27.413891499582288,7,4,"tensor(30385.9727, device='cuda:0', grad_fn=<AddBackward0>)",55.276315789473685,27.95459733383164,7,4
9,"tensor(30315.2012, device='cuda:0', grad_fn=<AddBackward0>)",39.26973684210526,26.287719298245616,4,4,"tensor(30315.2012, device='cuda:0', grad_fn=<AddBackward0>)",47.66447368421053,27.409790100250632,9,4,"tensor(30315.2012, device='cuda:0', grad_fn=<AddBackward0>)",55.453947368421055,27.949195820434564,9,4
10,"tensor(30239.1270, device='cuda:0', grad_fn=<AddBackward0>)",39.203947368421055,26.556359649122808,4,4,"tensor(30239.1270, device='cuda:0', grad_fn=<AddBackward0>)",47.24342105263158,27.632852965747702,9,4,"tensor(30239.1270, device='cuda:0', grad_fn=<AddBackward0>)",55.03947368421053,28.175857077631917,9,4
11,"tensor(30169.6445, device='cuda:0', grad_fn=<AddBackward0>)",39.348684210526315,26.377192982456137,4,4,"tensor(30169.6445, device='cuda:0', grad_fn=<AddBackward0>)",47.57236842105263,27.469768170426068,9,4,"tensor(30169.6445, device='cuda:0', grad_fn=<AddBackward0>)",55.07236842105263,27.987430068669628,9,4
12,"tensor(30126.1914, device='cuda:0', grad_fn=<AddBackward0>)",39.151315789473685,26.123355263157894,4,4,"tensor(30126.1914, device='cuda:0', grad_fn=<AddBackward0>)",47.3421052631579,27.218173036758557,9,4,"tensor(30126.1914, device='cuda:0', grad_fn=<AddBackward0>)",55.368421052631575,27.771015417059896,9,4
