Epoch,Train Loss,Recall@5,MRR5,Best Epoch for Recall@5,Best Epoch for MRR5,Train Loss,Recall@10,MRR10,Best Epoch for Recall@10,Best Epoch for MRR10,Train Loss,Recall@20,MRR20,Best Epoch for Recall@20,Best Epoch for MRR20
0,"tensor(57553.9570, device='cuda:0', grad_fn=<AddBackward0>)",24.379310344827587,13.611685823754788,0,0,"tensor(57553.9570, device='cuda:0', grad_fn=<AddBackward0>)",35.32676518883415,15.05931464539839,0,0,"tensor(57553.9570, device='cuda:0', grad_fn=<AddBackward0>)",48.29556650246305,15.956141185231724,0,0
1,"tensor(54185.6562, device='cuda:0', grad_fn=<AddBackward0>)",24.714285714285715,13.799178981937601,1,1,"tensor(54185.6562, device='cuda:0', grad_fn=<AddBackward0>)",36.07389162561576,15.304185888914953,1,1,"tensor(54185.6562, device='cuda:0', grad_fn=<AddBackward0>)",49.367816091954026,16.220376677577676,1,1
2,"tensor(53535.8516, device='cuda:0', grad_fn=<AddBackward0>)",25.26929392446634,14.076984126984126,2,2,"tensor(53535.8516, device='cuda:0', grad_fn=<AddBackward0>)",36.64367816091954,15.581586389345011,2,2,"tensor(53535.8516, device='cuda:0', grad_fn=<AddBackward0>)",49.88669950738917,16.494695957858617,2,2
3,"tensor(53081.0547, device='cuda:0', grad_fn=<AddBackward0>)",25.458128078817733,14.087000547345374,3,3,"tensor(53081.0547, device='cuda:0', grad_fn=<AddBackward0>)",36.931034482758626,15.605943258529464,3,3,"tensor(53081.0547, device='cuda:0', grad_fn=<AddBackward0>)",50.050903119868636,16.51357242454331,3,3
4,"tensor(52840.4062, device='cuda:0', grad_fn=<AddBackward0>)",25.627257799671593,14.17008757525999,4,4,"tensor(52840.4062, device='cuda:0', grad_fn=<AddBackward0>)",37.05747126436781,15.684634581802067,4,4,"tensor(52840.4062, device='cuda:0', grad_fn=<AddBackward0>)",50.4055829228243,16.608563477355514,4,4
5,"tensor(52688.5000, device='cuda:0', grad_fn=<AddBackward0>)",25.72577996715928,14.27192118226601,5,5,"tensor(52688.5000, device='cuda:0', grad_fn=<AddBackward0>)",37.41379310344828,15.818121693121693,5,5,"tensor(52688.5000, device='cuda:0', grad_fn=<AddBackward0>)",50.69622331691297,16.738266929885683,5,5
6,"tensor(52508.0430, device='cuda:0', grad_fn=<AddBackward0>)",25.862068965517242,14.34750957854406,6,6,"tensor(52508.0430, device='cuda:0', grad_fn=<AddBackward0>)",37.43513957307061,15.87577540594782,6,6,"tensor(52508.0430, device='cuda:0', grad_fn=<AddBackward0>)",50.72249589490969,16.795220030464776,6,6
7,"tensor(52408.4180, device='cuda:0', grad_fn=<AddBackward0>)",26.02134646962233,14.430815544608649,7,7,"tensor(52408.4180, device='cuda:0', grad_fn=<AddBackward0>)",37.55993431855501,15.954700002606408,7,7,"tensor(52408.4180, device='cuda:0', grad_fn=<AddBackward0>)",50.9080459770115,16.878376803758083,7,7
8,"tensor(52280.8555, device='cuda:0', grad_fn=<AddBackward0>)",25.94909688013136,14.412205801860972,7,7,"tensor(52280.8555, device='cuda:0', grad_fn=<AddBackward0>)",37.60426929392446,15.959547267182733,8,8,"tensor(52280.8555, device='cuda:0', grad_fn=<AddBackward0>)",50.926108374384235,16.880564109863784,8,8
9,"tensor(52185.6211, device='cuda:0', grad_fn=<AddBackward0>)",26.00985221674877,14.467296113847835,7,9,"tensor(52185.6211, device='cuda:0', grad_fn=<AddBackward0>)",37.69622331691298,16.012353715432532,9,9,"tensor(52185.6211, device='cuda:0', grad_fn=<AddBackward0>)",50.996715927750415,16.935678881726744,9,9
10,"tensor(52100.5391, device='cuda:0', grad_fn=<AddBackward0>)",26.197044334975367,14.540284619594965,10,10,"tensor(52100.5391, device='cuda:0', grad_fn=<AddBackward0>)",37.912972085385874,16.08880222587119,10,10,"tensor(52100.5391, device='cuda:0', grad_fn=<AddBackward0>)",51.22495894909688,17.009533862886816,10,10
11,"tensor(52097.7812, device='cuda:0', grad_fn=<AddBackward0>)",26.160919540229887,14.50903119868637,10,10,"tensor(52097.7812, device='cuda:0', grad_fn=<AddBackward0>)",37.73399014778325,16.045210727969348,10,10,"tensor(52097.7812, device='cuda:0', grad_fn=<AddBackward0>)",51.21182266009853,16.980628936665134,10,10
12,"tensor(51949.0352, device='cuda:0', grad_fn=<AddBackward0>)",26.197044334975367,14.521510673234808,10,10,"tensor(51949.0352, device='cuda:0', grad_fn=<AddBackward0>)",37.89326765188834,16.06949266296557,10,10,"tensor(51949.0352, device='cuda:0', grad_fn=<AddBackward0>)",51.25615763546798,16.994965018816423,12,10
13,"tensor(51877.8672, device='cuda:0', grad_fn=<AddBackward0>)",26.239737274220033,14.562999452654623,13,13,"tensor(51877.8672, device='cuda:0', grad_fn=<AddBackward0>)",38.01149425287356,16.1202452628561,13,13,"tensor(51877.8672, device='cuda:0', grad_fn=<AddBackward0>)",51.377668308702795,17.044499595034146,13,13
14,"tensor(51837.6484, device='cuda:0', grad_fn=<AddBackward0>)",26.146141215106734,14.562972085385875,13,13,"tensor(51837.6484, device='cuda:0', grad_fn=<AddBackward0>)",37.85057471264368,16.112026611410847,13,13,"tensor(51837.6484, device='cuda:0', grad_fn=<AddBackward0>)",51.275862068965516,17.04388447319977,13,13
15,"tensor(51769.6289, device='cuda:0', grad_fn=<AddBackward0>)",26.241379310344826,14.589573070607557,15,15,"tensor(51769.6289, device='cuda:0', grad_fn=<AddBackward0>)",37.99014778325123,16.15096371882086,13,15,"tensor(51769.6289, device='cuda:0', grad_fn=<AddBackward0>)",51.40065681444992,17.082410307379615,15,15
16,"tensor(51733.4844, device='cuda:0', grad_fn=<AddBackward0>)",26.413793103448274,14.686836343732896,16,16,"tensor(51733.4844, device='cuda:0', grad_fn=<AddBackward0>)",38.02298850574712,16.2230836395861,16,16,"tensor(51733.4844, device='cuda:0', grad_fn=<AddBackward0>)",51.56486042692939,17.161753120474653,16,16
17,"tensor(51700.7461, device='cuda:0', grad_fn=<AddBackward0>)",26.346469622331693,14.647181171319101,16,16,"tensor(51700.7461, device='cuda:0', grad_fn=<AddBackward0>)",38.07060755336617,16.198183986238174,17,16,"tensor(51700.7461, device='cuda:0', grad_fn=<AddBackward0>)",51.59113300492611,17.133807820541833,17,16
18,"tensor(51657.7734, device='cuda:0', grad_fn=<AddBackward0>)",26.374384236453203,14.618363437328952,16,16,"tensor(51657.7734, device='cuda:0', grad_fn=<AddBackward0>)",38.20689655172414,16.190551776266062,18,16,"tensor(51657.7734, device='cuda:0', grad_fn=<AddBackward0>)",51.74055829228244,17.128741531457756,18,16
