Epoch,Train Loss,Recall@5,MRR5,Best Epoch for Recall@5,Best Epoch for MRR5,Train Loss,Recall@10,MRR10,Best Epoch for Recall@10,Best Epoch for MRR10,Train Loss,Recall@20,MRR20,Best Epoch for Recall@20,Best Epoch for MRR20
0,"tensor(42624.6914, device='cuda:0', grad_fn=<AddBackward0>)",22.30888030888031,15.257786357786356,0,0,"tensor(42624.6914, device='cuda:0', grad_fn=<AddBackward0>)",27.52895752895753,15.955370166084451,0,0,"tensor(42624.6914, device='cuda:0', grad_fn=<AddBackward0>)",32.91119691119691,16.328667395761602,0,0
1,"tensor(40343.8555, device='cuda:0', grad_fn=<AddBackward0>)",22.409266409266408,15.1021879021879,1,0,"tensor(40343.8555, device='cuda:0', grad_fn=<AddBackward0>)",27.575289575289574,15.794012379726663,1,0,"tensor(40343.8555, device='cuda:0', grad_fn=<AddBackward0>)",32.86486486486486,16.162982904203606,0,0
2,"tensor(39526.4062, device='cuda:0', grad_fn=<AddBackward0>)",22.382239382239383,15.0028314028314,1,0,"tensor(39526.4062, device='cuda:0', grad_fn=<AddBackward0>)",27.9034749034749,15.744554758840476,2,0,"tensor(39526.4062, device='cuda:0', grad_fn=<AddBackward0>)",33.204633204633204,16.113063252619867,2,0
3,"tensor(38949.5625, device='cuda:0', grad_fn=<AddBackward0>)",22.401544401544403,15.089510939510939,1,0,"tensor(38949.5625, device='cuda:0', grad_fn=<AddBackward0>)",27.94980694980695,15.832423239566099,3,0,"tensor(38949.5625, device='cuda:0', grad_fn=<AddBackward0>)",33.27027027027027,16.20264059537611,3,0
4,"tensor(38530.6953, device='cuda:0', grad_fn=<AddBackward0>)",22.27799227799228,14.96106821106821,1,0,"tensor(38530.6953, device='cuda:0', grad_fn=<AddBackward0>)",27.930501930501933,15.71973248758963,3,0,"tensor(38530.6953, device='cuda:0', grad_fn=<AddBackward0>)",33.528957528957534,16.110909795966187,4,0
5,"tensor(38180.3320, device='cuda:0', grad_fn=<AddBackward0>)",22.45173745173745,14.985328185328184,5,0,"tensor(38180.3320, device='cuda:0', grad_fn=<AddBackward0>)",28.03861003861004,15.731007538150394,5,0,"tensor(38180.3320, device='cuda:0', grad_fn=<AddBackward0>)",33.915057915057915,16.14059363530283,5,0
6,"tensor(37926.4805, device='cuda:0', grad_fn=<AddBackward0>)",22.3011583011583,15.006177606177607,5,0,"tensor(37926.4805, device='cuda:0', grad_fn=<AddBackward0>)",27.95752895752896,15.760004902862049,5,0,"tensor(37926.4805, device='cuda:0', grad_fn=<AddBackward0>)",33.83783783783784,16.16720053075095,5,0
7,"tensor(37688.0273, device='cuda:0', grad_fn=<AddBackward0>)",22.293436293436294,14.998262548262547,5,0,"tensor(37688.0273, device='cuda:0', grad_fn=<AddBackward0>)",28.08494208494208,15.767919960777101,7,0,"tensor(37688.0273, device='cuda:0', grad_fn=<AddBackward0>)",33.942084942084946,16.1710742546877,7,0
8,"tensor(37464.1836, device='cuda:0', grad_fn=<AddBackward0>)",22.05791505791506,14.89054054054054,5,0,"tensor(37464.1836, device='cuda:0', grad_fn=<AddBackward0>)",27.9034749034749,15.66479132193418,7,0,"tensor(37464.1836, device='cuda:0', grad_fn=<AddBackward0>)",33.633204633204635,16.061861373117452,7,0
9,"tensor(37365.9727, device='cuda:0', grad_fn=<AddBackward0>)",21.945945945945947,14.765379665379665,5,0,"tensor(37365.9727, device='cuda:0', grad_fn=<AddBackward0>)",27.683397683397683,15.521869829012685,7,0,"tensor(37365.9727, device='cuda:0', grad_fn=<AddBackward0>)",33.59073359073359,15.938265839830413,7,0
