Epoch,Train Loss,Recall@5,MRR5,Best Epoch for Recall@5,Best Epoch for MRR5,Train Loss,Recall@10,MRR10,Best Epoch for Recall@10,Best Epoch for MRR10,Train Loss,Recall@20,MRR20,Best Epoch for Recall@20,Best Epoch for MRR20
0,"tensor(65324.1797, device='cuda:0', grad_fn=<AddBackward0>)",10.817575083426028,6.4233036707452715,0,0,"tensor(65324.1797, device='cuda:0', grad_fn=<AddBackward0>)",15.74527252502781,7.074794304076841,0,0,"tensor(65324.1797, device='cuda:0', grad_fn=<AddBackward0>)",21.342602892102335,7.460811472914661,0,0
1,"tensor(54639.9648, device='cuda:0', grad_fn=<AddBackward0>)",11.550611790878754,6.732554690396736,1,1,"tensor(54639.9648, device='cuda:0', grad_fn=<AddBackward0>)",16.67853170189099,7.4098191111817355,1,1,"tensor(54639.9648, device='cuda:0', grad_fn=<AddBackward0>)",22.46718576195773,7.807355785607592,1,1
2,"tensor(52430.5898, device='cuda:0', grad_fn=<AddBackward0>)",11.685205784204673,6.805079718205414,2,2,"tensor(52430.5898, device='cuda:0', grad_fn=<AddBackward0>)",16.89766407119021,7.499752370358599,2,2,"tensor(52430.5898, device='cuda:0', grad_fn=<AddBackward0>)",22.759733036707452,7.905464516691646,2,2
3,"tensor(51187.5234, device='cuda:0', grad_fn=<AddBackward0>)",11.92880978865406,7.0102335928809785,3,3,"tensor(51187.5234, device='cuda:0', grad_fn=<AddBackward0>)",17.0,7.681132916644595,3,3,"tensor(51187.5234, device='cuda:0', grad_fn=<AddBackward0>)",22.795328142380423,8.080605023023542,3,3
4,"tensor(50306.1328, device='cuda:0', grad_fn=<AddBackward0>)",11.953281423804226,6.976844642195032,4,3,"tensor(50306.1328, device='cuda:0', grad_fn=<AddBackward0>)",17.11234705228031,7.665832847785016,4,3,"tensor(50306.1328, device='cuda:0', grad_fn=<AddBackward0>)",22.800889877641826,8.05767407970264,4,3
5,"tensor(49599.8516, device='cuda:0', grad_fn=<AddBackward0>)",12.011123470522802,6.9494623655913985,5,3,"tensor(49599.8516, device='cuda:0', grad_fn=<AddBackward0>)",17.057842046718577,7.619577749527694,4,3,"tensor(49599.8516, device='cuda:0', grad_fn=<AddBackward0>)",22.836484983314794,8.017237323285281,5,3
6,"tensor(49010.9961, device='cuda:0', grad_fn=<AddBackward0>)",11.724137931034482,6.782647385984427,5,3,"tensor(49010.9961, device='cuda:0', grad_fn=<AddBackward0>)",16.943270300333705,7.477217631583594,4,3,"tensor(49010.9961, device='cuda:0', grad_fn=<AddBackward0>)",22.874304783092324,7.887787651509381,6,3
7,"tensor(48496.0859, device='cuda:0', grad_fn=<AddBackward0>)",11.919911012235819,6.924416017797553,5,3,"tensor(48496.0859, device='cuda:0', grad_fn=<AddBackward0>)",16.945494994438263,7.5919535815809445,4,3,"tensor(48496.0859, device='cuda:0', grad_fn=<AddBackward0>)",22.664071190211345,7.985645467901765,6,3
8,"tensor(48042.2227, device='cuda:0', grad_fn=<AddBackward0>)",11.783092324805338,6.831572117167221,5,3,"tensor(48042.2227, device='cuda:0', grad_fn=<AddBackward0>)",16.848720800889875,7.502270159083284,4,3,"tensor(48042.2227, device='cuda:0', grad_fn=<AddBackward0>)",22.589543937708566,7.8983941603033765,6,3
9,"tensor(47629.8242, device='cuda:0', grad_fn=<AddBackward0>)",11.74860956618465,6.841119762699294,5,3,"tensor(47629.8242, device='cuda:0', grad_fn=<AddBackward0>)",16.802002224694103,7.511356092307149,4,3,"tensor(47629.8242, device='cuda:0', grad_fn=<AddBackward0>)",22.47608453837597,7.902117327513926,6,3
10,"tensor(47234.9766, device='cuda:0', grad_fn=<AddBackward0>)",11.651835372636263,6.754857248794957,5,3,"tensor(47234.9766, device='cuda:0', grad_fn=<AddBackward0>)",16.67074527252503,7.416468916079594,4,3,"tensor(47234.9766, device='cuda:0', grad_fn=<AddBackward0>)",22.305895439377085,7.807297377455223,6,3
11,"tensor(46865.7070, device='cuda:0', grad_fn=<AddBackward0>)",11.520578420467185,6.6688728216536886,5,3,"tensor(46865.7070, device='cuda:0', grad_fn=<AddBackward0>)",16.44160177975528,7.3242381305507,4,3,"tensor(46865.7070, device='cuda:0', grad_fn=<AddBackward0>)",21.96218020022247,7.705551442984376,6,3
12,"tensor(46520.8711, device='cuda:0', grad_fn=<AddBackward0>)",11.440489432703004,6.676789024842418,5,3,"tensor(46520.8711, device='cuda:0', grad_fn=<AddBackward0>)",16.402669632925473,7.33518503804933,4,3,"tensor(46520.8711, device='cuda:0', grad_fn=<AddBackward0>)",21.85650723025584,7.712528387029252,6,3
13,"tensor(46188.7109, device='cuda:0', grad_fn=<AddBackward0>)",11.313681868743048,6.6276974416017795,5,3,"tensor(46188.7109, device='cuda:0', grad_fn=<AddBackward0>)",16.17686318131257,7.273198615745889,4,3,"tensor(46188.7109, device='cuda:0', grad_fn=<AddBackward0>)",21.64849833147942,7.65304776631427,6,3
14,"tensor(45867.4141, device='cuda:0', grad_fn=<AddBackward0>)",11.28587319243604,6.644864664441973,5,3,"tensor(45867.4141, device='cuda:0', grad_fn=<AddBackward0>)",16.10567296996663,7.28255822165722,4,3,"tensor(45867.4141, device='cuda:0', grad_fn=<AddBackward0>)",21.333704115684093,7.643999266002559,6,3
15,"tensor(45559.5742, device='cuda:0', grad_fn=<AddBackward0>)",11.305895439377085,6.63401928068224,5,3,"tensor(45559.5742, device='cuda:0', grad_fn=<AddBackward0>)",16.064516129032256,7.264488761763512,4,3,"tensor(45559.5742, device='cuda:0', grad_fn=<AddBackward0>)",21.332591768631815,7.628878617982222,6,3
16,"tensor(45261.3633, device='cuda:0', grad_fn=<AddBackward0>)",11.117908787541712,6.5111605487578785,5,3,"tensor(45261.3633, device='cuda:0', grad_fn=<AddBackward0>)",15.8587319243604,7.142240937902784,4,3,"tensor(45261.3633, device='cuda:0', grad_fn=<AddBackward0>)",21.141268075639598,7.506384240089087,6,3
17,"tensor(44981.4883, device='cuda:0', grad_fn=<AddBackward0>)",11.011123470522802,6.445198368557657,5,3,"tensor(44981.4883, device='cuda:0', grad_fn=<AddBackward0>)",15.661846496106785,7.06277654183661,4,3,"tensor(44981.4883, device='cuda:0', grad_fn=<AddBackward0>)",20.903225806451616,7.424170438901332,6,3
18,"tensor(44697.3672, device='cuda:0', grad_fn=<AddBackward0>)",10.849833147942158,6.383518724508713,5,3,"tensor(44697.3672, device='cuda:0', grad_fn=<AddBackward0>)",15.373748609566185,6.981600367251089,4,3,"tensor(44697.3672, device='cuda:0', grad_fn=<AddBackward0>)",20.566184649610676,7.341089432517302,6,3
19,"tensor(44434.2539, device='cuda:0', grad_fn=<AddBackward0>)",10.7853170189099,6.366981831664813,5,3,"tensor(44434.2539, device='cuda:0', grad_fn=<AddBackward0>)",15.447163515016685,6.987739905009094,4,3,"tensor(44434.2539, device='cuda:0', grad_fn=<AddBackward0>)",20.57730812013348,7.341895112075515,6,3
20,"tensor(44178.4922, device='cuda:0', grad_fn=<AddBackward0>)",10.720800889877642,6.276103077493511,5,3,"tensor(44178.4922, device='cuda:0', grad_fn=<AddBackward0>)",15.21134593993326,6.8707682257181695,4,3,"tensor(44178.4922, device='cuda:0', grad_fn=<AddBackward0>)",20.31701890989989,7.220956692832134,6,3
21,"tensor(43915.6523, device='cuda:0', grad_fn=<AddBackward0>)",10.67519466073415,6.328142380422692,5,3,"tensor(43915.6523, device='cuda:0', grad_fn=<AddBackward0>)",15.104560622914349,6.915653636315482,4,3,"tensor(43915.6523, device='cuda:0', grad_fn=<AddBackward0>)",20.160177975528367,7.263914926115013,6,3
