Epoch,Train Loss,Recall@5,MRR5,Best Epoch for Recall@5,Best Epoch for MRR5,Train Loss,Recall@10,MRR10,Best Epoch for Recall@10,Best Epoch for MRR10,Train Loss,Recall@20,MRR20,Best Epoch for Recall@20,Best Epoch for MRR20
0,"tensor(22093.9434, device='cuda:0', grad_fn=<AddBackward0>)",38.0,25.61611842105263,0,0,"tensor(22093.9434, device='cuda:0', grad_fn=<AddBackward0>)",46.11184210526316,26.700566520467838,0,0,"tensor(22093.9434, device='cuda:0', grad_fn=<AddBackward0>)",54.25657894736842,27.26987472598826,0,0
1,"tensor(18127.7598, device='cuda:0', grad_fn=<AddBackward0>)",39.401315789473685,26.286951754385967,1,1,"tensor(18127.7598, device='cuda:0', grad_fn=<AddBackward0>)",47.80921052631579,27.410466269841265,1,1,"tensor(18127.7598, device='cuda:0', grad_fn=<AddBackward0>)",55.74342105263158,27.962236583585064,1,1
2,"tensor(17262.7129, device='cuda:0', grad_fn=<AddBackward0>)",39.68421052631579,26.81315789473684,2,2,"tensor(17262.7129, device='cuda:0', grad_fn=<AddBackward0>)",47.68421052631579,27.88306704260652,1,2,"tensor(17262.7129, device='cuda:0', grad_fn=<AddBackward0>)",55.868421052631575,28.448282909041424,2,2
3,"tensor(16774.6855, device='cuda:0', grad_fn=<AddBackward0>)",39.71052631578947,26.843201754385966,3,3,"tensor(16774.6855, device='cuda:0', grad_fn=<AddBackward0>)",48.01973684210527,27.96821741854636,3,3,"tensor(16774.6855, device='cuda:0', grad_fn=<AddBackward0>)",55.64473684210526,28.49786479922184,2,3
4,"tensor(16444.5918, device='cuda:0', grad_fn=<AddBackward0>)",39.88815789473684,27.18223684210526,4,4,"tensor(16444.5918, device='cuda:0', grad_fn=<AddBackward0>)",48.07236842105263,28.28394162489557,4,4,"tensor(16444.5918, device='cuda:0', grad_fn=<AddBackward0>)",55.868421052631575,28.82042068184066,2,4
5,"tensor(16187.6924, device='cuda:0', grad_fn=<AddBackward0>)",40.171052631578945,27.332565789473684,5,5,"tensor(16187.6924, device='cuda:0', grad_fn=<AddBackward0>)",48.28947368421053,28.42098475355054,5,5,"tensor(16187.6924, device='cuda:0', grad_fn=<AddBackward0>)",55.7828947368421,28.93892858845299,2,5
6,"tensor(15976.1797, device='cuda:0', grad_fn=<AddBackward0>)",39.89473684210526,27.36589912280702,5,6,"tensor(15976.1797, device='cuda:0', grad_fn=<AddBackward0>)",48.078947368421055,28.47159565580618,5,6,"tensor(15976.1797, device='cuda:0', grad_fn=<AddBackward0>)",55.46710526315789,28.989843141300746,2,6
7,"tensor(15775.1436, device='cuda:0', grad_fn=<AddBackward0>)",39.98684210526316,26.995504385964914,5,6,"tensor(15775.1436, device='cuda:0', grad_fn=<AddBackward0>)",47.94736842105263,28.06843410609858,5,6,"tensor(15775.1436, device='cuda:0', grad_fn=<AddBackward0>)",55.52631578947368,28.595083302269984,2,6
8,"tensor(15584.4365, device='cuda:0', grad_fn=<AddBackward0>)",39.95394736842105,27.186403508771928,5,6,"tensor(15584.4365, device='cuda:0', grad_fn=<AddBackward0>)",47.85526315789474,28.247814849624053,5,6,"tensor(15584.4365, device='cuda:0', grad_fn=<AddBackward0>)",55.328947368421055,28.763512267101664,2,6
9,"tensor(15393.1504, device='cuda:0', grad_fn=<AddBackward0>)",39.473684210526315,27.247697368421047,5,6,"tensor(15393.1504, device='cuda:0', grad_fn=<AddBackward0>)",47.348684210526315,28.304104010025068,5,6,"tensor(15393.1504, device='cuda:0', grad_fn=<AddBackward0>)",55.01315789473684,28.836567929071137,2,6
10,"tensor(15207.3105, device='cuda:0', grad_fn=<AddBackward0>)",39.5,27.285635964912274,5,6,"tensor(15207.3105, device='cuda:0', grad_fn=<AddBackward0>)",47.10526315789474,28.309247076023393,5,6,"tensor(15207.3105, device='cuda:0', grad_fn=<AddBackward0>)",54.76973684210527,28.846664302957333,2,6
11,"tensor(15023.0518, device='cuda:0', grad_fn=<AddBackward0>)",39.05263157894737,27.209978070175435,5,6,"tensor(15023.0518, device='cuda:0', grad_fn=<AddBackward0>)",47.0,28.284121762740185,5,6,"tensor(15023.0518, device='cuda:0', grad_fn=<AddBackward0>)",54.625,28.817813746303848,2,6
12,"tensor(14849.1719, device='cuda:0', grad_fn=<AddBackward0>)",39.375,27.328508771929826,5,6,"tensor(14849.1719, device='cuda:0', grad_fn=<AddBackward0>)",47.0,28.353401733500423,5,6,"tensor(14849.1719, device='cuda:0', grad_fn=<AddBackward0>)",54.10526315789473,28.846049864602296,2,6
13,"tensor(14677.5684, device='cuda:0', grad_fn=<AddBackward0>)",39.223684210526315,26.977192982456145,5,6,"tensor(14677.5684, device='cuda:0', grad_fn=<AddBackward0>)",46.68421052631579,27.975576963241434,5,6,"tensor(14677.5684, device='cuda:0', grad_fn=<AddBackward0>)",53.993421052631575,28.48330120276791,2,6
14,"tensor(14518.3018, device='cuda:0', grad_fn=<AddBackward0>)",38.81578947368421,26.90427631578947,5,6,"tensor(14518.3018, device='cuda:0', grad_fn=<AddBackward0>)",46.526315789473685,27.93644527986633,5,6,"tensor(14518.3018, device='cuda:0', grad_fn=<AddBackward0>)",53.690789473684205,28.43741766201182,2,6
15,"tensor(14364.3037, device='cuda:0', grad_fn=<AddBackward0>)",38.39473684210527,26.865570175438595,5,6,"tensor(14364.3037, device='cuda:0', grad_fn=<AddBackward0>)",46.31578947368421,27.935166040100253,5,6,"tensor(14364.3037, device='cuda:0', grad_fn=<AddBackward0>)",53.68421052631579,28.447133148199683,2,6
