Epoch,Train Loss,Recall@5,MRR5,Best Epoch for Recall@5,Best Epoch for MRR5,Train Loss,Recall@10,MRR10,Best Epoch for Recall@10,Best Epoch for MRR10,Train Loss,Recall@20,MRR20,Best Epoch for Recall@20,Best Epoch for MRR20
0,"tensor(25167.1113, device='cuda:0', grad_fn=<AddBackward0>)",21.243243243243242,14.313191763191762,0,0,"tensor(25167.1113, device='cuda:0', grad_fn=<AddBackward0>)",27.135135135135137,15.103202181773609,0,0,"tensor(25167.1113, device='cuda:0', grad_fn=<AddBackward0>)",32.58687258687259,15.484986466808671,0,0
1,"tensor(21559.6016, device='cuda:0', grad_fn=<AddBackward0>)",21.922779922779924,14.344980694980697,1,1,"tensor(21559.6016, device='cuda:0', grad_fn=<AddBackward0>)",27.826254826254825,15.127934056505488,1,1,"tensor(21559.6016, device='cuda:0', grad_fn=<AddBackward0>)",33.56370656370656,15.526114021641444,1,1
2,"tensor(20111.2012, device='cuda:0', grad_fn=<AddBackward0>)",22.046332046332047,14.636936936936937,2,2,"tensor(20111.2012, device='cuda:0', grad_fn=<AddBackward0>)",27.853281853281853,15.410119813691244,2,2,"tensor(20111.2012, device='cuda:0', grad_fn=<AddBackward0>)",33.83011583011583,15.827659625890494,2,2
3,"tensor(19169.6387, device='cuda:0', grad_fn=<AddBackward0>)",22.382239382239383,14.864285714285714,3,3,"tensor(19169.6387, device='cuda:0', grad_fn=<AddBackward0>)",28.104247104247104,15.628539253539255,3,3,"tensor(19169.6387, device='cuda:0', grad_fn=<AddBackward0>)",34.11969111969112,16.04868348485664,3,3
4,"tensor(18456.7227, device='cuda:0', grad_fn=<AddBackward0>)",22.28185328185328,14.89942084942085,3,4,"tensor(18456.7227, device='cuda:0', grad_fn=<AddBackward0>)",28.262548262548265,15.695152295152296,4,4,"tensor(18456.7227, device='cuda:0', grad_fn=<AddBackward0>)",34.150579150579155,16.101546830870138,4,4
5,"tensor(17922.2656, device='cuda:0', grad_fn=<AddBackward0>)",22.3011583011583,14.766023166023166,3,4,"tensor(17922.2656, device='cuda:0', grad_fn=<AddBackward0>)",28.274131274131275,15.559130048415765,5,4,"tensor(17922.2656, device='cuda:0', grad_fn=<AddBackward0>)",34.262548262548265,15.973554574804021,5,4
6,"tensor(17486.7734, device='cuda:0', grad_fn=<AddBackward0>)",22.332046332046332,14.753732303732303,3,4,"tensor(17486.7734, device='cuda:0', grad_fn=<AddBackward0>)",28.158301158301157,15.531272599129743,5,4,"tensor(17486.7734, device='cuda:0', grad_fn=<AddBackward0>)",33.98069498069498,15.933419425673959,5,4
7,"tensor(17125.7246, device='cuda:0', grad_fn=<AddBackward0>)",22.212355212355213,14.511647361647363,3,4,"tensor(17125.7246, device='cuda:0', grad_fn=<AddBackward0>)",28.000000000000004,15.286249004106145,5,4,"tensor(17125.7246, device='cuda:0', grad_fn=<AddBackward0>)",33.899613899613904,15.695457050344267,5,4
8,"tensor(16810.3691, device='cuda:0', grad_fn=<AddBackward0>)",21.864864864864863,14.355598455598455,3,4,"tensor(16810.3691, device='cuda:0', grad_fn=<AddBackward0>)",27.613899613899612,15.12510571796286,5,4,"tensor(16810.3691, device='cuda:0', grad_fn=<AddBackward0>)",33.41312741312741,15.528390472828773,5,4
9,"tensor(16535.5957, device='cuda:0', grad_fn=<AddBackward0>)",21.868725868725868,14.165637065637066,3,4,"tensor(16535.5957, device='cuda:0', grad_fn=<AddBackward0>)",27.355212355212355,14.899498988784702,5,4,"tensor(16535.5957, device='cuda:0', grad_fn=<AddBackward0>)",33.092664092664094,15.294700091189476,5,4
10,"tensor(16286.0967, device='cuda:0', grad_fn=<AddBackward0>)",21.52895752895753,13.873359073359074,3,4,"tensor(16286.0967, device='cuda:0', grad_fn=<AddBackward0>)",27.042471042471046,14.611166268309125,5,4,"tensor(16286.0967, device='cuda:0', grad_fn=<AddBackward0>)",32.89575289575289,15.017390674434017,5,4
11,"tensor(16055.1172, device='cuda:0', grad_fn=<AddBackward0>)",21.25096525096525,13.628249678249679,3,4,"tensor(16055.1172, device='cuda:0', grad_fn=<AddBackward0>)",26.803088803088805,14.369763130477414,5,4,"tensor(16055.1172, device='cuda:0', grad_fn=<AddBackward0>)",32.544401544401545,14.771024923595688,5,4
12,"tensor(15840.3271, device='cuda:0', grad_fn=<AddBackward0>)",20.84942084942085,13.49517374517374,3,4,"tensor(15840.3271, device='cuda:0', grad_fn=<AddBackward0>)",26.362934362934364,14.234491634491636,5,4,"tensor(15840.3271, device='cuda:0', grad_fn=<AddBackward0>)",32.32046332046332,14.647362071190024,5,4
13,"tensor(15634.9307, device='cuda:0', grad_fn=<AddBackward0>)",20.548262548262546,13.168018018018019,3,4,"tensor(15634.9307, device='cuda:0', grad_fn=<AddBackward0>)",25.98069498069498,13.895728381442666,5,4,"tensor(15634.9307, device='cuda:0', grad_fn=<AddBackward0>)",31.915057915057915,14.308726878745675,5,4
14,"tensor(15440.9580, device='cuda:0', grad_fn=<AddBackward0>)",20.223938223938223,13.033976833976832,3,4,"tensor(15440.9580, device='cuda:0', grad_fn=<AddBackward0>)",25.571428571428573,13.748572041429185,5,4,"tensor(15440.9580, device='cuda:0', grad_fn=<AddBackward0>)",31.22779922779923,14.14137015406918,5,4
15,"tensor(15251.8652, device='cuda:0', grad_fn=<AddBackward0>)",19.93822393822394,12.700579150579152,3,4,"tensor(15251.8652, device='cuda:0', grad_fn=<AddBackward0>)",25.115830115830118,13.39398326898327,5,4,"tensor(15251.8652, device='cuda:0', grad_fn=<AddBackward0>)",30.806949806949806,13.791035244136749,5,4
16,"tensor(15059.7227, device='cuda:0', grad_fn=<AddBackward0>)",19.52895752895753,12.38925353925354,3,4,"tensor(15059.7227, device='cuda:0', grad_fn=<AddBackward0>)",24.598455598455597,13.066683520254948,5,4,"tensor(15059.7227, device='cuda:0', grad_fn=<AddBackward0>)",29.980694980694985,13.440266749914029,5,4
17,"tensor(14874.8174, device='cuda:0', grad_fn=<AddBackward0>)",19.03088803088803,12.22117117117117,3,4,"tensor(14874.8174, device='cuda:0', grad_fn=<AddBackward0>)",24.023166023166024,12.891793834650978,5,4,"tensor(14874.8174, device='cuda:0', grad_fn=<AddBackward0>)",29.494208494208497,13.270495788430331,5,4
18,"tensor(14690.2969, device='cuda:0', grad_fn=<AddBackward0>)",18.71814671814672,12.046589446589447,3,4,"tensor(14690.2969, device='cuda:0', grad_fn=<AddBackward0>)",23.88030888030888,12.736765336765336,5,4,"tensor(14690.2969, device='cuda:0', grad_fn=<AddBackward0>)",29.057915057915057,13.096142496380223,5,4
19,"tensor(14519.6230, device='cuda:0', grad_fn=<AddBackward0>)",18.343629343629345,11.742535392535393,3,4,"tensor(14519.6230, device='cuda:0', grad_fn=<AddBackward0>)",23.37065637065637,12.411276582705153,5,4,"tensor(14519.6230, device='cuda:0', grad_fn=<AddBackward0>)",28.756756756756758,12.780172046967712,5,4
20,"tensor(14343.8555, device='cuda:0', grad_fn=<AddBackward0>)",17.895752895752896,11.515637065637065,3,4,"tensor(14343.8555, device='cuda:0', grad_fn=<AddBackward0>)",22.787644787644787,12.169950052092908,5,4,"tensor(14343.8555, device='cuda:0', grad_fn=<AddBackward0>)",27.745173745173744,12.512843685853415,5,4
21,"tensor(14194.3877, device='cuda:0', grad_fn=<AddBackward0>)",17.64864864864865,11.203217503217502,3,4,"tensor(14194.3877, device='cuda:0', grad_fn=<AddBackward0>)",22.563706563706564,11.8578660292946,5,4,"tensor(14194.3877, device='cuda:0', grad_fn=<AddBackward0>)",27.70656370656371,12.216876453934173,5,4
22,"tensor(14052.2432, device='cuda:0', grad_fn=<AddBackward0>)",17.664092664092664,11.320077220077222,3,4,"tensor(14052.2432, device='cuda:0', grad_fn=<AddBackward0>)",22.3011583011583,11.933457437028865,5,4,"tensor(14052.2432, device='cuda:0', grad_fn=<AddBackward0>)",27.397683397683398,12.287228939727832,5,4
23,"tensor(13913.1855, device='cuda:0', grad_fn=<AddBackward0>)",17.239382239382238,10.906048906048905,3,4,"tensor(13913.1855, device='cuda:0', grad_fn=<AddBackward0>)",21.752895752895753,11.509790402647544,5,4,"tensor(13913.1855, device='cuda:0', grad_fn=<AddBackward0>)",26.74131274131274,11.854630316533235,5,4
24,"tensor(13783.2910, device='cuda:0', grad_fn=<AddBackward0>)",17.513513513513512,11.050064350064352,3,4,"tensor(13783.2910, device='cuda:0', grad_fn=<AddBackward0>)",22.362934362934364,11.695242691671263,5,4,"tensor(13783.2910, device='cuda:0', grad_fn=<AddBackward0>)",27.115830115830114,12.027008830900913,5,4
25,"tensor(13663.6328, device='cuda:0', grad_fn=<AddBackward0>)",17.216216216216214,10.908622908622908,3,4,"tensor(13663.6328, device='cuda:0', grad_fn=<AddBackward0>)",21.602316602316602,11.486342464913891,5,4,"tensor(13663.6328, device='cuda:0', grad_fn=<AddBackward0>)",26.513513513513516,11.828148067245813,5,4
26,"tensor(13557.4414, device='cuda:0', grad_fn=<AddBackward0>)",16.942084942084943,10.591377091377092,3,4,"tensor(13557.4414, device='cuda:0', grad_fn=<AddBackward0>)",21.53281853281853,11.20276705276705,5,4,"tensor(13557.4414, device='cuda:0', grad_fn=<AddBackward0>)",26.27799227799228,11.530221888199552,5,4
