Epoch,Train Loss,Recall@5,MRR5,Best Epoch for Recall@5,Best Epoch for MRR5,Train Loss,Recall@10,MRR10,Best Epoch for Recall@10,Best Epoch for MRR10,Train Loss,Recall@20,MRR20,Best Epoch for Recall@20,Best Epoch for MRR20
0,"tensor(37462.2070, device='cuda:0', grad_fn=<AddBackward0>)",25.13957307060755,14.013628899835798,0,0,"tensor(37462.2070, device='cuda:0', grad_fn=<AddBackward0>)",36.60755336617406,15.528128991060026,0,0,"tensor(37462.2070, device='cuda:0', grad_fn=<AddBackward0>)",50.185550082101805,16.461279130089654,0,0
1,"tensor(33839.8828, device='cuda:0', grad_fn=<AddBackward0>)",26.318555008210183,14.704296661193213,1,1,"tensor(33839.8828, device='cuda:0', grad_fn=<AddBackward0>)",37.770114942528735,16.220240050043007,1,1,"tensor(33839.8828, device='cuda:0', grad_fn=<AddBackward0>)",51.10016420361247,17.141349757892065,1,1
2,"tensor(32974.0664, device='cuda:0', grad_fn=<AddBackward0>)",26.45648604269294,14.842802408319649,2,2,"tensor(32974.0664, device='cuda:0', grad_fn=<AddBackward0>)",37.926108374384235,16.363489457085514,2,2,"tensor(32974.0664, device='cuda:0', grad_fn=<AddBackward0>)",51.52873563218391,17.3072156160645,2,2
3,"tensor(32473.2090, device='cuda:0', grad_fn=<AddBackward0>)",26.86863711001642,15.145183360700601,3,3,"tensor(32473.2090, device='cuda:0', grad_fn=<AddBackward0>)",38.298850574712645,16.6537903667214,3,3,"tensor(32473.2090, device='cuda:0', grad_fn=<AddBackward0>)",51.67651888341543,17.578993023527595,3,3
4,"tensor(32117.1875, device='cuda:0', grad_fn=<AddBackward0>)",26.90968801313629,15.200328407224955,4,4,"tensor(32117.1875, device='cuda:0', grad_fn=<AddBackward0>)",38.56486042692939,16.742665571975916,4,4,"tensor(32117.1875, device='cuda:0', grad_fn=<AddBackward0>)",52.05582922824302,17.672676622363216,4,4
5,"tensor(31837.3105, device='cuda:0', grad_fn=<AddBackward0>)",27.19376026272578,15.387766830870278,5,5,"tensor(31837.3105, device='cuda:0', grad_fn=<AddBackward0>)",38.98850574712643,16.95379688273777,5,5,"tensor(31837.3105, device='cuda:0', grad_fn=<AddBackward0>)",52.484400656814444,17.884707484660396,5,5
6,"tensor(31599.1035, device='cuda:0', grad_fn=<AddBackward0>)",27.364532019704434,15.431280788177338,6,6,"tensor(31599.1035, device='cuda:0', grad_fn=<AddBackward0>)",38.94745484400657,16.964417337816357,5,6,"tensor(31599.1035, device='cuda:0', grad_fn=<AddBackward0>)",52.420361247947454,17.894834747039294,5,6
7,"tensor(31405.6992, device='cuda:0', grad_fn=<AddBackward0>)",27.251231527093594,15.40591133004926,6,6,"tensor(31405.6992, device='cuda:0', grad_fn=<AddBackward0>)",38.893267651888344,16.95177626606198,5,6,"tensor(31405.6992, device='cuda:0', grad_fn=<AddBackward0>)",52.41871921182266,17.887560088818496,5,6
8,"tensor(31234.8379, device='cuda:0', grad_fn=<AddBackward0>)",27.458128078817733,15.573754789272032,8,8,"tensor(31234.8379, device='cuda:0', grad_fn=<AddBackward0>)",39.018062397372745,17.107748846665103,8,8,"tensor(31234.8379, device='cuda:0', grad_fn=<AddBackward0>)",52.643678160919535,18.047723576236287,8,8
9,"tensor(31087.7617, device='cuda:0', grad_fn=<AddBackward0>)",27.725779967159276,15.604597701149423,9,9,"tensor(31087.7617, device='cuda:0', grad_fn=<AddBackward0>)",39.39573070607553,17.152882034039674,9,9,"tensor(31087.7617, device='cuda:0', grad_fn=<AddBackward0>)",52.69786535303776,18.075185358637142,9,9
10,"tensor(30962.0020, device='cuda:0', grad_fn=<AddBackward0>)",27.67159277504105,15.656294471811716,9,10,"tensor(30962.0020, device='cuda:0', grad_fn=<AddBackward0>)",39.50410509031199,17.227347720697473,10,10,"tensor(30962.0020, device='cuda:0', grad_fn=<AddBackward0>)",52.812807881773395,18.143331999704866,10,10
11,"tensor(30843.9785, device='cuda:0', grad_fn=<AddBackward0>)",27.912972085385878,15.758264915161469,11,11,"tensor(30843.9785, device='cuda:0', grad_fn=<AddBackward0>)",39.389162561576356,17.279202830557512,10,11,"tensor(30843.9785, device='cuda:0', grad_fn=<AddBackward0>)",52.85550082101806,18.210487520959504,11,11
12,"tensor(30739.6016, device='cuda:0', grad_fn=<AddBackward0>)",27.66830870279146,15.64542966611932,11,11,"tensor(30739.6016, device='cuda:0', grad_fn=<AddBackward0>)",39.36288998357964,17.196468319128417,10,11,"tensor(30739.6016, device='cuda:0', grad_fn=<AddBackward0>)",53.0295566502463,18.14037734493857,12,11
13,"tensor(30639.5098, device='cuda:0', grad_fn=<AddBackward0>)",27.86863711001642,15.685686918445537,11,11,"tensor(30639.5098, device='cuda:0', grad_fn=<AddBackward0>)",39.65188834154351,17.24579391143431,13,11,"tensor(30639.5098, device='cuda:0', grad_fn=<AddBackward0>)",52.95238095238095,18.161146049670922,12,11
14,"tensor(30552.7637, device='cuda:0', grad_fn=<AddBackward0>)",27.876847290640395,15.782156540777228,11,14,"tensor(30552.7637, device='cuda:0', grad_fn=<AddBackward0>)",39.62068965517241,17.342000938306356,13,14,"tensor(30552.7637, device='cuda:0', grad_fn=<AddBackward0>)",52.80788177339901,18.253268734521306,12,14
15,"tensor(30465.6348, device='cuda:0', grad_fn=<AddBackward0>)",27.970443349753694,15.818938149972631,15,15,"tensor(30465.6348, device='cuda:0', grad_fn=<AddBackward0>)",39.6272577996716,17.362227956316627,13,15,"tensor(30465.6348, device='cuda:0', grad_fn=<AddBackward0>)",52.86863711001642,18.27956292952118,12,15
16,"tensor(30387.8438, device='cuda:0', grad_fn=<AddBackward0>)",27.866995073891626,15.773508483853313,15,15,"tensor(30387.8438, device='cuda:0', grad_fn=<AddBackward0>)",39.39573070607553,17.29919396877525,13,15,"tensor(30387.8438, device='cuda:0', grad_fn=<AddBackward0>)",52.85221674876848,18.22866844417482,12,15
17,"tensor(30307.8945, device='cuda:0', grad_fn=<AddBackward0>)",27.965517241379313,15.814532019704433,15,15,"tensor(30307.8945, device='cuda:0', grad_fn=<AddBackward0>)",39.44663382594417,17.33314371725702,13,15,"tensor(30307.8945, device='cuda:0', grad_fn=<AddBackward0>)",52.80295566502463,18.254698214563774,12,15
