Epoch,Train Loss,Recall@5,MRR5,Best Epoch for Recall@5,Best Epoch for MRR5,Train Loss,Recall@10,MRR10,Best Epoch for Recall@10,Best Epoch for MRR10,Train Loss,Recall@20,MRR20,Best Epoch for Recall@20,Best Epoch for MRR20
0,"tensor(82475.1172, device='cuda:0', grad_fn=<AddBackward0>)",8.480533926585094,5.015443084909159,0,0,"tensor(82475.1172, device='cuda:0', grad_fn=<AddBackward0>)",13.018909899888765,5.609204230450058,0,0,"tensor(82475.1172, device='cuda:0', grad_fn=<AddBackward0>)",18.580645161290324,5.995675472227335,0,0
1,"tensor(74555.6641, device='cuda:0', grad_fn=<AddBackward0>)",9.161290322580646,5.2835372636262505,1,1,"tensor(74555.6641, device='cuda:0', grad_fn=<AddBackward0>)",14.058954393770856,5.927779984815579,1,1,"tensor(74555.6641, device='cuda:0', grad_fn=<AddBackward0>)",20.03337041156841,6.342265878872988,1,1
2,"tensor(71751.5859, device='cuda:0', grad_fn=<AddBackward0>)",9.111234705228032,5.294679273266592,1,2,"tensor(71751.5859, device='cuda:0', grad_fn=<AddBackward0>)",14.21913236929922,5.971455938697318,2,2,"tensor(71751.5859, device='cuda:0', grad_fn=<AddBackward0>)",20.469410456062292,6.4035531471893075,2,2
3,"tensor(70149.3359, device='cuda:0', grad_fn=<AddBackward0>)",9.416017797552836,5.395606229143493,3,3,"tensor(70149.3359, device='cuda:0', grad_fn=<AddBackward0>)",14.488320355951057,6.061374631424686,3,3,"tensor(70149.3359, device='cuda:0', grad_fn=<AddBackward0>)",20.657397107897665,6.486819694466435,3,3
4,"tensor(69071.5078, device='cuda:0', grad_fn=<AddBackward0>)",9.268075639599555,5.294920281794586,3,3,"tensor(69071.5078, device='cuda:0', grad_fn=<AddBackward0>)",14.347052280311456,5.9648326182530855,3,3,"tensor(69071.5078, device='cuda:0', grad_fn=<AddBackward0>)",20.512791991101224,6.391106907058887,3,3
5,"tensor(68262.8828, device='cuda:0', grad_fn=<AddBackward0>)",9.28587319243604,5.352428624397479,3,3,"tensor(68262.8828, device='cuda:0', grad_fn=<AddBackward0>)",14.372636262513904,6.022325070183803,3,3,"tensor(68262.8828, device='cuda:0', grad_fn=<AddBackward0>)",20.5027808676307,6.445052495811121,3,3
6,"tensor(67493.7969, device='cuda:0', grad_fn=<AddBackward0>)",9.242491657397107,5.350111234705228,3,3,"tensor(67493.7969, device='cuda:0', grad_fn=<AddBackward0>)",14.345939933259178,6.022100835143104,3,3,"tensor(67493.7969, device='cuda:0', grad_fn=<AddBackward0>)",20.538375973303673,6.448513139313074,3,3
7,"tensor(66701.4766, device='cuda:0', grad_fn=<AddBackward0>)",9.332591768631813,5.401334816462736,3,7,"tensor(66701.4766, device='cuda:0', grad_fn=<AddBackward0>)",14.410456062291436,6.069804633013754,3,7,"tensor(66701.4766, device='cuda:0', grad_fn=<AddBackward0>)",20.52947719688543,6.492085463168057,3,7
8,"tensor(65823.7422, device='cuda:0', grad_fn=<AddBackward0>)",9.449388209121246,5.417890248424175,8,8,"tensor(65823.7422, device='cuda:0', grad_fn=<AddBackward0>)",14.432703003337041,6.071575118738634,3,8,"tensor(65823.7422, device='cuda:0', grad_fn=<AddBackward0>)",20.35706340378198,6.479503572274911,3,7
9,"tensor(64856.2656, device='cuda:0', grad_fn=<AddBackward0>)",9.24916573971079,5.3999814608824614,8,8,"tensor(64856.2656, device='cuda:0', grad_fn=<AddBackward0>)",14.335928809788653,6.067609513215743,3,8,"tensor(64856.2656, device='cuda:0', grad_fn=<AddBackward0>)",20.262513904338153,6.474194947294228,3,7
10,"tensor(63919.4297, device='cuda:0', grad_fn=<AddBackward0>)",9.295884315906564,5.488542825361513,8,10,"tensor(63919.4297, device='cuda:0', grad_fn=<AddBackward0>)",14.171301446051169,6.134729064039407,3,10,"tensor(63919.4297, device='cuda:0', grad_fn=<AddBackward0>)",20.271412680756395,6.55496862601226,3,10
11,"tensor(63115.3047, device='cuda:0', grad_fn=<AddBackward0>)",9.404894327030034,5.46125324434557,8,10,"tensor(63115.3047, device='cuda:0', grad_fn=<AddBackward0>)",14.280311457174639,6.1039095467627185,3,10,"tensor(63115.3047, device='cuda:0', grad_fn=<AddBackward0>)",20.062291434927698,6.5028367832815155,3,10
12,"tensor(62429.5234, device='cuda:0', grad_fn=<AddBackward0>)",9.398220244716352,5.4753615127919915,8,10,"tensor(62429.5234, device='cuda:0', grad_fn=<AddBackward0>)",14.234705228031148,6.112788901248301,3,10,"tensor(62429.5234, device='cuda:0', grad_fn=<AddBackward0>)",19.994438264738598,6.50993967359257,3,10
13,"tensor(61836.3047, device='cuda:0', grad_fn=<AddBackward0>)",9.253615127919911,5.418335187245088,8,10,"tensor(61836.3047, device='cuda:0', grad_fn=<AddBackward0>)",14.134593993325916,6.061910941610608,3,10,"tensor(61836.3047, device='cuda:0', grad_fn=<AddBackward0>)",19.795328142380423,6.451918775557443,3,10
