Epoch,Train Loss,Recall@5,MRR5,Best Epoch for Recall@5,Best Epoch for MRR5,Train Loss,Recall@10,MRR10,Best Epoch for Recall@10,Best Epoch for MRR10,Train Loss,Recall@20,MRR20,Best Epoch for Recall@20,Best Epoch for MRR20
0,"tensor(35228.2070, device='cuda:0', grad_fn=<AddBackward0>)",33.171052631578945,23.334539473684213,0,0,"tensor(35228.2070, device='cuda:0', grad_fn=<AddBackward0>)",39.82236842105264,24.229148391812867,0,0,"tensor(35228.2070, device='cuda:0', grad_fn=<AddBackward0>)",46.93421052631579,24.72422734796706,0,0
1,"tensor(30325.4570, device='cuda:0', grad_fn=<AddBackward0>)",34.68421052631579,23.818311403508773,1,1,"tensor(30325.4570, device='cuda:0', grad_fn=<AddBackward0>)",41.94078947368421,24.790053258145363,1,1,"tensor(30325.4570, device='cuda:0', grad_fn=<AddBackward0>)",48.868421052631575,25.2687943066701,1,1
2,"tensor(28490.0391, device='cuda:0', grad_fn=<AddBackward0>)",35.64473684210526,24.37247807017544,2,2,"tensor(28490.0391, device='cuda:0', grad_fn=<AddBackward0>)",42.625,25.302268692564745,2,2,"tensor(28490.0391, device='cuda:0', grad_fn=<AddBackward0>)",49.86184210526316,25.811333783888063,2,2
3,"tensor(27481.5273, device='cuda:0', grad_fn=<AddBackward0>)",35.9078947368421,24.453179824561403,3,3,"tensor(27481.5273, device='cuda:0', grad_fn=<AddBackward0>)",43.13157894736842,25.433536967418547,3,3,"tensor(27481.5273, device='cuda:0', grad_fn=<AddBackward0>)",50.27631578947368,25.93090083039799,3,3
4,"tensor(26779.3770, device='cuda:0', grad_fn=<AddBackward0>)",36.03947368421053,24.73969298245614,4,4,"tensor(26779.3770, device='cuda:0', grad_fn=<AddBackward0>)",43.2171052631579,25.69824561403509,4,4,"tensor(26779.3770, device='cuda:0', grad_fn=<AddBackward0>)",50.190789473684205,26.185810012259974,3,4
5,"tensor(26281.1699, device='cuda:0', grad_fn=<AddBackward0>)",36.118421052631575,24.785855263157895,5,5,"tensor(26281.1699, device='cuda:0', grad_fn=<AddBackward0>)",43.401315789473685,25.76016081871345,5,5,"tensor(26281.1699, device='cuda:0', grad_fn=<AddBackward0>)",50.44736842105263,26.2502881893456,5,5
6,"tensor(25869.6465, device='cuda:0', grad_fn=<AddBackward0>)",36.11184210526316,24.671491228070174,5,5,"tensor(25869.6465, device='cuda:0', grad_fn=<AddBackward0>)",43.25,25.631184732664998,5,5,"tensor(25869.6465, device='cuda:0', grad_fn=<AddBackward0>)",50.473684210526315,26.13673896532378,6,5
7,"tensor(25515.9590, device='cuda:0', grad_fn=<AddBackward0>)",36.026315789473685,24.775328947368422,5,5,"tensor(25515.9590, device='cuda:0', grad_fn=<AddBackward0>)",43.125,25.739374477861322,5,5,"tensor(25515.9590, device='cuda:0', grad_fn=<AddBackward0>)",50.565789473684205,26.25803855437354,7,7
8,"tensor(25193.0332, device='cuda:0', grad_fn=<AddBackward0>)",35.8421052631579,24.682456140350876,5,5,"tensor(25193.0332, device='cuda:0', grad_fn=<AddBackward0>)",42.88157894736842,25.62762113617377,5,5,"tensor(25193.0332, device='cuda:0', grad_fn=<AddBackward0>)",50.151315789473685,26.129237459222338,7,7
9,"tensor(24871.6582, device='cuda:0', grad_fn=<AddBackward0>)",35.828947368421055,24.601644736842104,5,5,"tensor(24871.6582, device='cuda:0', grad_fn=<AddBackward0>)",42.828947368421055,25.531811299081035,5,5,"tensor(24871.6582, device='cuda:0', grad_fn=<AddBackward0>)",50.065789473684205,26.03282722615,7,7
