Epoch,Train Loss,Recall@5,MRR5,Best Epoch for Recall@5,Best Epoch for MRR5,Train Loss,Recall@10,MRR10,Best Epoch for Recall@10,Best Epoch for MRR10,Train Loss,Recall@20,MRR20,Best Epoch for Recall@20,Best Epoch for MRR20
0,"tensor(55317.6875, device='cuda:0', grad_fn=<AddBackward0>)",23.58784893267652,13.467515051997815,0,0,"tensor(55317.6875, device='cuda:0', grad_fn=<AddBackward0>)",34.13464696223317,14.859725154429587,0,0,"tensor(55317.6875, device='cuda:0', grad_fn=<AddBackward0>)",46.67651888341543,15.723360928169603,0,0
1,"tensor(51122.0469, device='cuda:0', grad_fn=<AddBackward0>)",24.35960591133005,14.001860974274768,1,1,"tensor(51122.0469, device='cuda:0', grad_fn=<AddBackward0>)",35.06403940886699,15.418343889279845,1,1,"tensor(51122.0469, device='cuda:0', grad_fn=<AddBackward0>)",47.90968801313629,16.305614867245744,1,1
2,"tensor(49438.2148, device='cuda:0', grad_fn=<AddBackward0>)",24.6863711001642,14.192255062944717,2,2,"tensor(49438.2148, device='cuda:0', grad_fn=<AddBackward0>)",35.72742200328407,15.653360961242734,2,2,"tensor(49438.2148, device='cuda:0', grad_fn=<AddBackward0>)",48.65024630541872,16.545249738013087,2,2
3,"tensor(48332.0234, device='cuda:0', grad_fn=<AddBackward0>)",25.110016420361248,14.429228243021347,3,3,"tensor(48332.0234, device='cuda:0', grad_fn=<AddBackward0>)",36.01806239737274,15.877558839627802,3,3,"tensor(48332.0234, device='cuda:0', grad_fn=<AddBackward0>)",48.6256157635468,16.750028523241284,2,3
4,"tensor(47131.7344, device='cuda:0', grad_fn=<AddBackward0>)",24.98357963875205,14.392911877394637,3,3,"tensor(47131.7344, device='cuda:0', grad_fn=<AddBackward0>)",35.66502463054187,15.802699585581358,3,3,"tensor(47131.7344, device='cuda:0', grad_fn=<AddBackward0>)",48.42692939244663,16.68377181397549,2,3
5,"tensor(45740.9023, device='cuda:0', grad_fn=<AddBackward0>)",24.952380952380953,14.388040503557745,3,3,"tensor(45740.9023, device='cuda:0', grad_fn=<AddBackward0>)",35.724137931034484,15.807926082310317,3,3,"tensor(45740.9023, device='cuda:0', grad_fn=<AddBackward0>)",48.24630541871921,16.670353751946998,2,3
6,"tensor(44605.5977, device='cuda:0', grad_fn=<AddBackward0>)",24.980295566502463,14.44649698960044,3,6,"tensor(44605.5977, device='cuda:0', grad_fn=<AddBackward0>)",35.592775041050906,15.853327077957616,3,3,"tensor(44605.5977, device='cuda:0', grad_fn=<AddBackward0>)",48.06732348111659,16.714683459280373,2,3
7,"tensor(43755.4648, device='cuda:0', grad_fn=<AddBackward0>)",25.00985221674877,14.542775041050904,3,7,"tensor(43755.4648, device='cuda:0', grad_fn=<AddBackward0>)",35.848932676518885,15.975215028540152,3,7,"tensor(43755.4648, device='cuda:0', grad_fn=<AddBackward0>)",48.28407224958949,16.835666528748437,2,7
8,"tensor(43063.4961, device='cuda:0', grad_fn=<AddBackward0>)",25.032840722495898,14.456458675424194,3,7,"tensor(43063.4961, device='cuda:0', grad_fn=<AddBackward0>)",35.91789819376026,15.898152057757969,3,7,"tensor(43063.4961, device='cuda:0', grad_fn=<AddBackward0>)",48.407224958949094,16.759133041910346,2,7
9,"tensor(42568.5625, device='cuda:0', grad_fn=<AddBackward0>)",25.05582922824302,14.475916803503011,3,7,"tensor(42568.5625, device='cuda:0', grad_fn=<AddBackward0>)",35.74384236453202,15.885941043083902,3,7,"tensor(42568.5625, device='cuda:0', grad_fn=<AddBackward0>)",48.35139573070607,16.75775004021241,2,7
10,"tensor(42124.9844, device='cuda:0', grad_fn=<AddBackward0>)",25.18390804597701,14.523727422003283,10,7,"tensor(42124.9844, device='cuda:0', grad_fn=<AddBackward0>)",35.9080459770115,15.937013579378112,3,7,"tensor(42124.9844, device='cuda:0', grad_fn=<AddBackward0>)",48.251231527093594,16.788573262064926,2,7
