Epoch,Train Loss,Recall@5,MRR5,Best Epoch for Recall@5,Best Epoch for MRR5,Train Loss,Recall@10,MRR10,Best Epoch for Recall@10,Best Epoch for MRR10,Train Loss,Recall@20,MRR20,Best Epoch for Recall@20,Best Epoch for MRR20
0,"tensor(26749.7734, device='cuda:0', grad_fn=<AddBackward0>)",38.42763157894737,25.890570175438597,0,0,"tensor(26749.7734, device='cuda:0', grad_fn=<AddBackward0>)",46.03947368421053,26.91222326649958,0,0,"tensor(26749.7734, device='cuda:0', grad_fn=<AddBackward0>)",53.98026315789474,27.463506676711162,0,0
1,"tensor(22851.8984, device='cuda:0', grad_fn=<AddBackward0>)",39.809210526315795,26.73486842105263,1,1,"tensor(22851.8984, device='cuda:0', grad_fn=<AddBackward0>)",47.796052631578945,27.810719507101084,1,1,"tensor(22851.8984, device='cuda:0', grad_fn=<AddBackward0>)",55.65789473684211,28.359139534294076,1,1
2,"tensor(22041.7793, device='cuda:0', grad_fn=<AddBackward0>)",40.026315789473685,26.82171052631579,2,2,"tensor(22041.7793, device='cuda:0', grad_fn=<AddBackward0>)",48.171052631578945,27.90973527568922,2,2,"tensor(22041.7793, device='cuda:0', grad_fn=<AddBackward0>)",56.14473684210526,28.461926313422108,2,2
3,"tensor(21572.4277, device='cuda:0', grad_fn=<AddBackward0>)",40.29605263157895,27.039583333333333,3,3,"tensor(21572.4277, device='cuda:0', grad_fn=<AddBackward0>)",48.33552631578947,28.11694340016708,3,3,"tensor(21572.4277, device='cuda:0', grad_fn=<AddBackward0>)",56.263157894736835,28.667225859173772,3,3
4,"tensor(21256.1973, device='cuda:0', grad_fn=<AddBackward0>)",40.32236842105263,27.44331140350877,4,4,"tensor(21256.1973, device='cuda:0', grad_fn=<AddBackward0>)",48.05263157894737,28.478735902255636,3,4,"tensor(21256.1973, device='cuda:0', grad_fn=<AddBackward0>)",56.03289473684211,29.03155935719179,3,4
5,"tensor(21032.4551, device='cuda:0', grad_fn=<AddBackward0>)",40.29605263157895,27.40010964912281,4,4,"tensor(21032.4551, device='cuda:0', grad_fn=<AddBackward0>)",48.31578947368421,28.47320906432748,3,4,"tensor(21032.4551, device='cuda:0', grad_fn=<AddBackward0>)",56.38815789473684,29.03217937938078,5,5
6,"tensor(20840.5488, device='cuda:0', grad_fn=<AddBackward0>)",40.42763157894737,27.50504385964912,6,6,"tensor(20840.5488, device='cuda:0', grad_fn=<AddBackward0>)",48.203947368421055,28.544522765246448,3,6,"tensor(20840.5488, device='cuda:0', grad_fn=<AddBackward0>)",56.223684210526315,29.10120281589801,5,6
7,"tensor(20667.2266, device='cuda:0', grad_fn=<AddBackward0>)",40.36842105263158,27.570504385964917,6,7,"tensor(20667.2266, device='cuda:0', grad_fn=<AddBackward0>)",48.276315789473685,28.630827067669173,3,7,"tensor(20667.2266, device='cuda:0', grad_fn=<AddBackward0>)",56.19078947368421,29.17989711080339,5,7
8,"tensor(20543.9180, device='cuda:0', grad_fn=<AddBackward0>)",40.03289473684211,27.412719298245612,6,7,"tensor(20543.9180, device='cuda:0', grad_fn=<AddBackward0>)",48.25,28.509228801169588,3,7,"tensor(20543.9180, device='cuda:0', grad_fn=<AddBackward0>)",56.006578947368425,29.052419238047904,5,7
9,"tensor(20435.9023, device='cuda:0', grad_fn=<AddBackward0>)",40.078947368421055,27.652412280701753,6,9,"tensor(20435.9023, device='cuda:0', grad_fn=<AddBackward0>)",47.828947368421055,28.69610484544695,3,9,"tensor(20435.9023, device='cuda:0', grad_fn=<AddBackward0>)",55.76973684210527,29.246780055548843,5,9
10,"tensor(20328.5586, device='cuda:0', grad_fn=<AddBackward0>)",40.36842105263158,27.249451754385962,6,9,"tensor(20328.5586, device='cuda:0', grad_fn=<AddBackward0>)",48.473684210526315,28.332043650793654,10,9,"tensor(20328.5586, device='cuda:0', grad_fn=<AddBackward0>)",56.263157894736835,28.86866639733268,5,9
11,"tensor(20226.5859, device='cuda:0', grad_fn=<AddBackward0>)",40.125,27.61644736842105,6,9,"tensor(20226.5859, device='cuda:0', grad_fn=<AddBackward0>)",48.0,28.671360693400167,10,9,"tensor(20226.5859, device='cuda:0', grad_fn=<AddBackward0>)",55.828947368421055,29.21507218091054,5,9
12,"tensor(20155.6914, device='cuda:0', grad_fn=<AddBackward0>)",39.98684210526316,27.44473684210526,6,9,"tensor(20155.6914, device='cuda:0', grad_fn=<AddBackward0>)",47.93421052631579,28.51294381787803,10,9,"tensor(20155.6914, device='cuda:0', grad_fn=<AddBackward0>)",55.84210526315789,29.06669053072401,5,9
