Epoch,Train Loss,Recall@5,MRR5,Best Epoch for Recall@5,Best Epoch for MRR5,Train Loss,Recall@10,MRR10,Best Epoch for Recall@10,Best Epoch for MRR10,Train Loss,Recall@20,MRR20,Best Epoch for Recall@20,Best Epoch for MRR20
0,"tensor(24406.0840, device='cuda:0', grad_fn=<AddBackward0>)",18.285714285714285,12.440862290862292,0,0,"tensor(24406.0840, device='cuda:0', grad_fn=<AddBackward0>)",22.583011583011583,13.011622847337131,0,0,"tensor(24406.0840, device='cuda:0', grad_fn=<AddBackward0>)",27.239382239382238,13.337011541246394,0,0
1,"tensor(20923.8164, device='cuda:0', grad_fn=<AddBackward0>)",18.444015444015445,12.566473616473617,1,1,"tensor(20923.8164, device='cuda:0', grad_fn=<AddBackward0>)",22.976833976833976,13.166807623950483,1,1,"tensor(20923.8164, device='cuda:0', grad_fn=<AddBackward0>)",27.918918918918916,13.50930402218549,1,1
2,"tensor(20011.8496, device='cuda:0', grad_fn=<AddBackward0>)",18.544401544401545,12.601544401544402,2,2,"tensor(20011.8496, device='cuda:0', grad_fn=<AddBackward0>)",23.185328185328185,13.219360176503034,2,2,"tensor(20011.8496, device='cuda:0', grad_fn=<AddBackward0>)",28.027027027027028,13.55639210000665,2,2
3,"tensor(19417.1445, device='cuda:0', grad_fn=<AddBackward0>)",19.212355212355213,12.876640926640928,3,3,"tensor(19417.1445, device='cuda:0', grad_fn=<AddBackward0>)",24.092664092664094,13.524986210700495,3,3,"tensor(19417.1445, device='cuda:0', grad_fn=<AddBackward0>)",28.996138996139,13.864754630212396,3,3
4,"tensor(18984.9609, device='cuda:0', grad_fn=<AddBackward0>)",19.23166023166023,12.689060489060488,4,3,"tensor(18984.9609, device='cuda:0', grad_fn=<AddBackward0>)",24.069498069498067,13.332207207207212,3,3,"tensor(18984.9609, device='cuda:0', grad_fn=<AddBackward0>)",28.8996138996139,13.664529725105798,3,3
5,"tensor(18652.5391, device='cuda:0', grad_fn=<AddBackward0>)",18.903474903474905,12.59890604890605,4,3,"tensor(18652.5391, device='cuda:0', grad_fn=<AddBackward0>)",23.864864864864867,13.265928173071032,3,3,"tensor(18652.5391, device='cuda:0', grad_fn=<AddBackward0>)",28.98069498069498,13.618687806784886,3,3
6,"tensor(18372.9648, device='cuda:0', grad_fn=<AddBackward0>)",18.976833976833976,12.50849420849421,4,3,"tensor(18372.9648, device='cuda:0', grad_fn=<AddBackward0>)",24.003861003861005,13.182348164491023,3,3,"tensor(18372.9648, device='cuda:0', grad_fn=<AddBackward0>)",29.05019305019305,13.532138686063941,6,3
7,"tensor(18159.7598, device='cuda:0', grad_fn=<AddBackward0>)",19.35135135135135,12.607142857142858,7,3,"tensor(18159.7598, device='cuda:0', grad_fn=<AddBackward0>)",24.37837837837838,13.275263528834955,7,3,"tensor(18159.7598, device='cuda:0', grad_fn=<AddBackward0>)",29.683397683397683,13.644693108370683,7,3
8,"tensor(17974.4824, device='cuda:0', grad_fn=<AddBackward0>)",18.795366795366792,12.258301158301158,7,3,"tensor(17974.4824, device='cuda:0', grad_fn=<AddBackward0>)",23.594594594594597,12.89047159404302,7,3,"tensor(17974.4824, device='cuda:0', grad_fn=<AddBackward0>)",28.760617760617762,13.247486344771838,7,3
9,"tensor(17800.1035, device='cuda:0', grad_fn=<AddBackward0>)",18.806949806949806,12.369305019305019,7,3,"tensor(17800.1035, device='cuda:0', grad_fn=<AddBackward0>)",23.752895752895753,13.03181804253233,7,3,"tensor(17800.1035, device='cuda:0', grad_fn=<AddBackward0>)",28.942084942084946,13.390798121199493,7,3
10,"tensor(17646.4746, device='cuda:0', grad_fn=<AddBackward0>)",18.752895752895753,12.264221364221363,7,3,"tensor(17646.4746, device='cuda:0', grad_fn=<AddBackward0>)",23.47876447876448,12.897390758105045,7,3,"tensor(17646.4746, device='cuda:0', grad_fn=<AddBackward0>)",28.806949806949806,13.267720220749855,7,3
