Epoch,Train Loss,Recall@5,MRR5,Best Epoch for Recall@5,Best Epoch for MRR5,Train Loss,Recall@10,MRR10,Best Epoch for Recall@10,Best Epoch for MRR10,Train Loss,Recall@20,MRR20,Best Epoch for Recall@20,Best Epoch for MRR20
0,"tensor(44127.5273, device='cuda:0', grad_fn=<AddBackward0>)",24.917898193760262,13.968418171866448,0,0,"tensor(44127.5273, device='cuda:0', grad_fn=<AddBackward0>)",36.38752052545156,15.483502749758909,0,0,"tensor(44127.5273, device='cuda:0', grad_fn=<AddBackward0>)",49.71756978653531,16.406644239604557,0,0
1,"tensor(40604.9766, device='cuda:0', grad_fn=<AddBackward0>)",26.137931034482758,14.56800766283525,1,1,"tensor(40604.9766, device='cuda:0', grad_fn=<AddBackward0>)",37.70279146141215,16.105690437094378,1,1,"tensor(40604.9766, device='cuda:0', grad_fn=<AddBackward0>)",51.16748768472906,17.03509213043635,1,1
2,"tensor(39766.9492, device='cuda:0', grad_fn=<AddBackward0>)",26.55336617405583,14.894061302681994,2,2,"tensor(39766.9492, device='cuda:0', grad_fn=<AddBackward0>)",38.17569786535304,16.433995360596345,2,2,"tensor(39766.9492, device='cuda:0', grad_fn=<AddBackward0>)",51.67323481116585,17.363448007348136,2,2
3,"tensor(39271.4180, device='cuda:0', grad_fn=<AddBackward0>)",26.74055829228243,15.089326765188835,3,3,"tensor(39271.4180, device='cuda:0', grad_fn=<AddBackward0>)",38.42857142857143,16.63967406886126,3,3,"tensor(39271.4180, device='cuda:0', grad_fn=<AddBackward0>)",51.983579638752055,17.574720375298583,3,3
4,"tensor(38932.0078, device='cuda:0', grad_fn=<AddBackward0>)",27.050903119868636,15.180459770114943,4,4,"tensor(38932.0078, device='cuda:0', grad_fn=<AddBackward0>)",38.71756978653531,16.72878254750176,4,4,"tensor(38932.0078, device='cuda:0', grad_fn=<AddBackward0>)",52.198686371100166,17.6599863332845,4,4
5,"tensor(38635.1992, device='cuda:0', grad_fn=<AddBackward0>)",27.016420361247945,15.242227695675972,4,5,"tensor(38635.1992, device='cuda:0', grad_fn=<AddBackward0>)",38.566502463054185,16.774133369823026,4,5,"tensor(38635.1992, device='cuda:0', grad_fn=<AddBackward0>)",52.1559934318555,17.71550926307881,4,5
6,"tensor(38441.3008, device='cuda:0', grad_fn=<AddBackward0>)",27.157635467980295,15.325807334428024,6,6,"tensor(38441.3008, device='cuda:0', grad_fn=<AddBackward0>)",38.995073891625616,16.89204524721766,6,6,"tensor(38441.3008, device='cuda:0', grad_fn=<AddBackward0>)",52.297208538587846,17.814895247439402,6,6
7,"tensor(38237.6250, device='cuda:0', grad_fn=<AddBackward0>)",27.42528735632184,15.38481116584565,7,7,"tensor(38237.6250, device='cuda:0', grad_fn=<AddBackward0>)",39.064039408866996,16.929198269346053,7,7,"tensor(38237.6250, device='cuda:0', grad_fn=<AddBackward0>)",52.64696223316913,17.868362870864814,7,7
8,"tensor(38080.6445, device='cuda:0', grad_fn=<AddBackward0>)",27.308702791461414,15.35662287903667,7,7,"tensor(38080.6445, device='cuda:0', grad_fn=<AddBackward0>)",39.062397372742204,16.914756170667502,7,7,"tensor(38080.6445, device='cuda:0', grad_fn=<AddBackward0>)",52.602627257799675,17.849853578570656,7,7
9,"tensor(37932.2852, device='cuda:0', grad_fn=<AddBackward0>)",27.55008210180624,15.476956759715382,9,9,"tensor(37932.2852, device='cuda:0', grad_fn=<AddBackward0>)",39.33661740558293,17.044339536580917,9,9,"tensor(37932.2852, device='cuda:0', grad_fn=<AddBackward0>)",52.82758620689655,17.97710458849507,9,9
10,"tensor(37809.6484, device='cuda:0', grad_fn=<AddBackward0>)",27.44006568144499,15.378133552271484,9,9,"tensor(37809.6484, device='cuda:0', grad_fn=<AddBackward0>)",39.19047619047619,16.932789245966585,9,9,"tensor(37809.6484, device='cuda:0', grad_fn=<AddBackward0>)",52.668308702791464,17.862775247618316,9,9
11,"tensor(37691.5820, device='cuda:0', grad_fn=<AddBackward0>)",27.61740558292282,15.4975916803503,11,11,"tensor(37691.5820, device='cuda:0', grad_fn=<AddBackward0>)",39.41379310344828,17.064505304037326,11,11,"tensor(37691.5820, device='cuda:0', grad_fn=<AddBackward0>)",52.87356321839081,17.994499737461354,11,11
12,"tensor(37590.4727, device='cuda:0', grad_fn=<AddBackward0>)",27.732348111658457,15.57006020799124,12,12,"tensor(37590.4727, device='cuda:0', grad_fn=<AddBackward0>)",39.52545155993432,17.133895013944276,12,12,"tensor(37590.4727, device='cuda:0', grad_fn=<AddBackward0>)",52.983579638752055,18.062436263924965,12,12
13,"tensor(37498.8633, device='cuda:0', grad_fn=<AddBackward0>)",27.799671592775045,15.604269293924467,13,13,"tensor(37498.8633, device='cuda:0', grad_fn=<AddBackward0>)",39.61904761904762,17.16742904058175,13,13,"tensor(37498.8633, device='cuda:0', grad_fn=<AddBackward0>)",53.12315270935961,18.098307495290637,13,13
14,"tensor(37426.9062, device='cuda:0', grad_fn=<AddBackward0>)",27.83415435139573,15.588533114395181,14,13,"tensor(37426.9062, device='cuda:0', grad_fn=<AddBackward0>)",39.275862068965516,17.10829879844658,13,13,"tensor(37426.9062, device='cuda:0', grad_fn=<AddBackward0>)",52.92610837438424,18.053106398544788,13,13
15,"tensor(37364.9766, device='cuda:0', grad_fn=<AddBackward0>)",27.962233169129718,15.668281335522716,15,15,"tensor(37364.9766, device='cuda:0', grad_fn=<AddBackward0>)",39.602627257799675,17.21433067479866,13,15,"tensor(37364.9766, device='cuda:0', grad_fn=<AddBackward0>)",53.01149425287356,18.137183255582386,13,15
16,"tensor(37280.1602, device='cuda:0', grad_fn=<AddBackward0>)",27.957307060755337,15.650875752599891,15,15,"tensor(37280.1602, device='cuda:0', grad_fn=<AddBackward0>)",39.658456486042695,17.198294758516436,16,15,"tensor(37280.1602, device='cuda:0', grad_fn=<AddBackward0>)",53.0,18.119743001320042,13,15
17,"tensor(37204.2773, device='cuda:0', grad_fn=<AddBackward0>)",27.977011494252874,15.666885604816635,17,15,"tensor(37204.2773, device='cuda:0', grad_fn=<AddBackward0>)",39.481116584564866,17.19208825292569,16,15,"tensor(37204.2773, device='cuda:0', grad_fn=<AddBackward0>)",52.906403940886705,18.119774576892272,13,15
18,"tensor(37160.4961, device='cuda:0', grad_fn=<AddBackward0>)",27.934318555008208,15.7084017515052,17,18,"tensor(37160.4961, device='cuda:0', grad_fn=<AddBackward0>)",39.701149425287355,17.2701142909271,18,18,"tensor(37160.4961, device='cuda:0', grad_fn=<AddBackward0>)",53.07060755336618,18.193200937073037,13,18
19,"tensor(37111.7344, device='cuda:0', grad_fn=<AddBackward0>)",27.93103448275862,15.715243568691845,17,19,"tensor(37111.7344, device='cuda:0', grad_fn=<AddBackward0>)",39.66502463054187,17.269355826621837,18,18,"tensor(37111.7344, device='cuda:0', grad_fn=<AddBackward0>)",52.91297208538588,18.185631725766736,13,18
20,"tensor(37043.8320, device='cuda:0', grad_fn=<AddBackward0>)",27.947454844006568,15.72055281882868,17,20,"tensor(37043.8320, device='cuda:0', grad_fn=<AddBackward0>)",39.622331691297205,17.267885161727527,18,18,"tensor(37043.8320, device='cuda:0', grad_fn=<AddBackward0>)",52.89655172413793,18.18351992327594,13,18
21,"tensor(36985.8398, device='cuda:0', grad_fn=<AddBackward0>)",27.85221674876847,15.709961685823757,17,20,"tensor(36985.8398, device='cuda:0', grad_fn=<AddBackward0>)",39.5632183908046,17.26777373784763,18,18,"tensor(36985.8398, device='cuda:0', grad_fn=<AddBackward0>)",52.88669950738917,18.188209877365193,13,18
22,"tensor(36958.0469, device='cuda:0', grad_fn=<AddBackward0>)",27.968801313628898,15.694143404488232,17,20,"tensor(36958.0469, device='cuda:0', grad_fn=<AddBackward0>)",39.520525451559934,17.229111606328356,18,18,"tensor(36958.0469, device='cuda:0', grad_fn=<AddBackward0>)",52.940886699507395,18.157072283602734,13,18
23,"tensor(36892.0820, device='cuda:0', grad_fn=<AddBackward0>)",28.037766830870282,15.781992337164752,23,23,"tensor(36892.0820, device='cuda:0', grad_fn=<AddBackward0>)",39.59605911330049,17.312856100294525,18,23,"tensor(36892.0820, device='cuda:0', grad_fn=<AddBackward0>)",52.89983579638752,18.231643113680548,13,23
24,"tensor(36861.0586, device='cuda:0', grad_fn=<AddBackward0>)",28.003284072249592,15.74567597153804,23,23,"tensor(36861.0586, device='cuda:0', grad_fn=<AddBackward0>)",39.74055829228243,17.299850131623533,24,23,"tensor(36861.0586, device='cuda:0', grad_fn=<AddBackward0>)",52.96059113300493,18.212384624816185,13,23
25,"tensor(36818.8594, device='cuda:0', grad_fn=<AddBackward0>)",28.047619047619047,15.756568144499179,25,23,"tensor(36818.8594, device='cuda:0', grad_fn=<AddBackward0>)",39.623973727422005,17.289047879688276,24,23,"tensor(36818.8594, device='cuda:0', grad_fn=<AddBackward0>)",52.84893267651888,18.20282889948052,13,23
26,"tensor(36758.2422, device='cuda:0', grad_fn=<AddBackward0>)",27.942528735632184,15.703393541324578,25,23,"tensor(36758.2422, device='cuda:0', grad_fn=<AddBackward0>)",39.64203612479474,17.25821278703052,24,23,"tensor(36758.2422, device='cuda:0', grad_fn=<AddBackward0>)",52.783251231527096,18.166159389883063,13,23
27,"tensor(36725.8867, device='cuda:0', grad_fn=<AddBackward0>)",27.78981937602627,15.662616310892172,25,23,"tensor(36725.8867, device='cuda:0', grad_fn=<AddBackward0>)",39.45977011494253,17.212598066046343,24,23,"tensor(36725.8867, device='cuda:0', grad_fn=<AddBackward0>)",52.62889983579638,18.125350687094425,13,23
28,"tensor(36688.3867, device='cuda:0', grad_fn=<AddBackward0>)",27.848932676518885,15.715982484948002,25,23,"tensor(36688.3867, device='cuda:0', grad_fn=<AddBackward0>)",39.568144499178985,17.271241561758803,24,23,"tensor(36688.3867, device='cuda:0', grad_fn=<AddBackward0>)",52.76518883415435,18.182033415111544,13,23
29,"tensor(36659.5430, device='cuda:0', grad_fn=<AddBackward0>)",27.85221674876847,15.686945812807881,25,23,"tensor(36659.5430, device='cuda:0', grad_fn=<AddBackward0>)",39.5632183908046,17.239022467224437,24,23,"tensor(36659.5430, device='cuda:0', grad_fn=<AddBackward0>)",52.70771756978654,18.148780012733447,13,23
