Epoch,Train Loss,Recall@5,MRR5,Best Epoch for Recall@5,Best Epoch for MRR5,Train Loss,Recall@10,MRR10,Best Epoch for Recall@10,Best Epoch for MRR10,Train Loss,Recall@20,MRR20,Best Epoch for Recall@20,Best Epoch for MRR20
0,"tensor(75705.4141, device='cuda:0', grad_fn=<AddBackward0>)",11.0,6.440915832406377,0,0,"tensor(75705.4141, device='cuda:0', grad_fn=<AddBackward0>)",15.637374860956617,7.057718011194096,0,0,"tensor(75705.4141, device='cuda:0', grad_fn=<AddBackward0>)",20.92992213570634,7.422817307957358,0,0
1,"tensor(65888.7422, device='cuda:0', grad_fn=<AddBackward0>)",11.696329254727475,6.809992584352983,1,1,"tensor(65888.7422, device='cuda:0', grad_fn=<AddBackward0>)",16.510567296996662,7.44858087469322,1,1,"tensor(65888.7422, device='cuda:0', grad_fn=<AddBackward0>)",22.08008898776418,7.834816769210204,1,1
2,"tensor(63706.7461, device='cuda:0', grad_fn=<AddBackward0>)",12.085650723025584,6.96998516870597,2,2,"tensor(63706.7461, device='cuda:0', grad_fn=<AddBackward0>)",17.012235817575082,7.623575136394936,2,2,"tensor(63706.7461, device='cuda:0', grad_fn=<AddBackward0>)",22.558398220244715,8.005383063928164,2,2
3,"tensor(62516.5820, device='cuda:0', grad_fn=<AddBackward0>)",12.047830923248053,6.995847237671487,2,3,"tensor(62516.5820, device='cuda:0', grad_fn=<AddBackward0>)",17.11012235817575,7.6668626516234974,3,3,"tensor(62516.5820, device='cuda:0', grad_fn=<AddBackward0>)",22.690767519466075,8.053747713753197,3,3
4,"tensor(61725.7656, device='cuda:0', grad_fn=<AddBackward0>)",12.162402669632925,7.024286243974787,4,4,"tensor(61725.7656, device='cuda:0', grad_fn=<AddBackward0>)",17.235817575083427,7.703598795840176,4,4,"tensor(61725.7656, device='cuda:0', grad_fn=<AddBackward0>)",22.840934371523915,8.089810860369523,4,4
5,"tensor(61117.7383, device='cuda:0', grad_fn=<AddBackward0>)",12.293659621802004,7.1088431590656285,5,5,"tensor(61117.7383, device='cuda:0', grad_fn=<AddBackward0>)",17.272525027808676,7.76943120221763,5,5,"tensor(61117.7383, device='cuda:0', grad_fn=<AddBackward0>)",22.837597330367075,8.15336279634046,4,5
6,"tensor(60592.2969, device='cuda:0', grad_fn=<AddBackward0>)",12.313681868743048,7.067797552836484,6,5,"tensor(60592.2969, device='cuda:0', grad_fn=<AddBackward0>)",17.401557285873192,7.746871303211682,6,5,"tensor(60592.2969, device='cuda:0', grad_fn=<AddBackward0>)",22.97107897664071,8.132273619179951,6,5
7,"tensor(60194.7891, device='cuda:0', grad_fn=<AddBackward0>)",12.471635150166852,7.0989988876529475,7,5,"tensor(60194.7891, device='cuda:0', grad_fn=<AddBackward0>)",17.409343715239153,7.754448505393999,7,5,"tensor(60194.7891, device='cuda:0', grad_fn=<AddBackward0>)",23.051167964404897,8.144827696909989,7,5
8,"tensor(59844.6797, device='cuda:0', grad_fn=<AddBackward0>)",12.43047830923248,7.0863181312569505,7,5,"tensor(59844.6797, device='cuda:0', grad_fn=<AddBackward0>)",17.478309232480534,7.757176404117448,8,5,"tensor(59844.6797, device='cuda:0', grad_fn=<AddBackward0>)",23.12124582869855,8.146843380888862,8,5
9,"tensor(59533.8984, device='cuda:0', grad_fn=<AddBackward0>)",12.39599555061179,7.099833147942157,7,5,"tensor(59533.8984, device='cuda:0', grad_fn=<AddBackward0>)",17.56284760845384,7.788403781979977,9,9,"tensor(59533.8984, device='cuda:0', grad_fn=<AddBackward0>)",23.231368186874306,8.180346889886215,9,9
