Epoch,Train Loss,Recall@5,MRR5,Best Epoch for Recall@5,Best Epoch for MRR5,Train Loss,Recall@10,MRR10,Best Epoch for Recall@10,Best Epoch for MRR10,Train Loss,Recall@20,MRR20,Best Epoch for Recall@20,Best Epoch for MRR20
0,"tensor(26788.7754, device='cuda:0', grad_fn=<AddBackward0>)",38.03947368421053,25.92171052631579,0,0,"tensor(26788.7754, device='cuda:0', grad_fn=<AddBackward0>)",46.059210526315795,26.985424498746863,0,0,"tensor(26788.7754, device='cuda:0', grad_fn=<AddBackward0>)",53.85526315789474,27.524806372536588,0,0
1,"tensor(22880.0840, device='cuda:0', grad_fn=<AddBackward0>)",39.69736842105263,26.551315789473684,1,1,"tensor(22880.0840, device='cuda:0', grad_fn=<AddBackward0>)",47.89473684210526,27.64501618629908,1,1,"tensor(22880.0840, device='cuda:0', grad_fn=<AddBackward0>)",55.64473684210526,28.180479672885365,1,1
2,"tensor(22050.5039, device='cuda:0', grad_fn=<AddBackward0>)",40.20394736842105,27.062280701754382,2,2,"tensor(22050.5039, device='cuda:0', grad_fn=<AddBackward0>)",48.08552631578947,28.117810150375938,2,2,"tensor(22050.5039, device='cuda:0', grad_fn=<AddBackward0>)",55.94078947368422,28.665256196332045,2,2
3,"tensor(21596.0020, device='cuda:0', grad_fn=<AddBackward0>)",40.4078947368421,27.363815789473684,3,3,"tensor(21596.0020, device='cuda:0', grad_fn=<AddBackward0>)",48.51973684210527,28.45417188805347,3,3,"tensor(21596.0020, device='cuda:0', grad_fn=<AddBackward0>)",56.348684210526315,28.996093205057534,3,3
4,"tensor(21264.3770, device='cuda:0', grad_fn=<AddBackward0>)",40.61184210526316,27.56732456140351,4,4,"tensor(21264.3770, device='cuda:0', grad_fn=<AddBackward0>)",48.30263157894737,28.59951702172097,3,4,"tensor(21264.3770, device='cuda:0', grad_fn=<AddBackward0>)",56.328947368421055,29.156798558124024,3,4
5,"tensor(21019.9160, device='cuda:0', grad_fn=<AddBackward0>)",40.76315789473684,27.302521929824564,5,4,"tensor(21019.9160, device='cuda:0', grad_fn=<AddBackward0>)",48.55921052631579,28.33890455304929,5,4,"tensor(21019.9160, device='cuda:0', grad_fn=<AddBackward0>)",56.51973684210526,28.891630308314202,5,4
6,"tensor(20823.1387, device='cuda:0', grad_fn=<AddBackward0>)",40.44736842105263,27.640350877192986,5,6,"tensor(20823.1387, device='cuda:0', grad_fn=<AddBackward0>)",48.51315789473684,28.720180659983292,5,6,"tensor(20823.1387, device='cuda:0', grad_fn=<AddBackward0>)",56.546052631578945,29.272084721388637,6,6
7,"tensor(20650.9297, device='cuda:0', grad_fn=<AddBackward0>)",40.39473684210526,27.555263157894732,5,6,"tensor(20650.9297, device='cuda:0', grad_fn=<AddBackward0>)",48.43421052631579,28.64385442773601,5,6,"tensor(20650.9297, device='cuda:0', grad_fn=<AddBackward0>)",56.21052631578948,29.184799318277864,6,6
8,"tensor(20511.1816, device='cuda:0', grad_fn=<AddBackward0>)",40.401315789473685,27.75526315789474,5,8,"tensor(20511.1816, device='cuda:0', grad_fn=<AddBackward0>)",48.42763157894737,28.83661236424394,5,8,"tensor(20511.1816, device='cuda:0', grad_fn=<AddBackward0>)",56.14473684210526,29.373950258604303,6,8
9,"tensor(20392.3184, device='cuda:0', grad_fn=<AddBackward0>)",40.21052631578947,27.691885964912284,5,8,"tensor(20392.3184, device='cuda:0', grad_fn=<AddBackward0>)",48.38815789473684,28.794747284878863,5,8,"tensor(20392.3184, device='cuda:0', grad_fn=<AddBackward0>)",56.21052631578948,29.336011094519428,6,8
