Epoch,Train Loss,Recall@5,MRR5,Best Epoch for Recall@5,Best Epoch for MRR5,Train Loss,Recall@10,MRR10,Best Epoch for Recall@10,Best Epoch for MRR10,Train Loss,Recall@20,MRR20,Best Epoch for Recall@20,Best Epoch for MRR20
0,"tensor(28690.6445, device='cuda:0', grad_fn=<AddBackward0>)",21.73359073359073,14.605534105534106,0,0,"tensor(28690.6445, device='cuda:0', grad_fn=<AddBackward0>)",26.996138996138995,15.309739841882699,0,0,"tensor(28690.6445, device='cuda:0', grad_fn=<AddBackward0>)",32.40540540540541,15.686828766229471,0,0
1,"tensor(25477.1367, device='cuda:0', grad_fn=<AddBackward0>)",21.91891891891892,14.563384813384813,1,0,"tensor(25477.1367, device='cuda:0', grad_fn=<AddBackward0>)",27.737451737451735,15.338568670711531,1,1,"tensor(25477.1367, device='cuda:0', grad_fn=<AddBackward0>)",33.5945945945946,15.742950756667032,1,1
2,"tensor(24199.7637, device='cuda:0', grad_fn=<AddBackward0>)",22.447876447876446,14.997297297297294,2,2,"tensor(24199.7637, device='cuda:0', grad_fn=<AddBackward0>)",28.220077220077222,15.765316847459705,2,2,"tensor(24199.7637, device='cuda:0', grad_fn=<AddBackward0>)",34.04247104247104,16.17035260867636,2,2
3,"tensor(23387.3203, device='cuda:0', grad_fn=<AddBackward0>)",22.26254826254826,14.729343629343628,2,2,"tensor(23387.3203, device='cuda:0', grad_fn=<AddBackward0>)",28.154440154440152,15.511619783048353,2,2,"tensor(23387.3203, device='cuda:0', grad_fn=<AddBackward0>)",33.78378378378378,15.904387762044772,2,2
4,"tensor(22741.0273, device='cuda:0', grad_fn=<AddBackward0>)",22.316602316602317,14.82020592020592,2,2,"tensor(22741.0273, device='cuda:0', grad_fn=<AddBackward0>)",27.942084942084943,15.566248391248392,2,2,"tensor(22741.0273, device='cuda:0', grad_fn=<AddBackward0>)",33.71814671814672,15.966221911511608,2,2
5,"tensor(22169.8301, device='cuda:0', grad_fn=<AddBackward0>)",21.957528957528957,14.374453024453027,2,2,"tensor(22169.8301, device='cuda:0', grad_fn=<AddBackward0>)",27.47876447876448,15.11319789176932,2,2,"tensor(22169.8301, device='cuda:0', grad_fn=<AddBackward0>)",33.43629343629343,15.525346258528478,2,2
6,"tensor(21728.0430, device='cuda:0', grad_fn=<AddBackward0>)",21.355212355212355,13.94980694980695,2,2,"tensor(21728.0430, device='cuda:0', grad_fn=<AddBackward0>)",26.8996138996139,14.695210516639087,2,2,"tensor(21728.0430, device='cuda:0', grad_fn=<AddBackward0>)",32.664092664092664,15.09413040707269,2,2
7,"tensor(21339.5098, device='cuda:0', grad_fn=<AddBackward0>)",20.91119691119691,13.877606177606177,2,2,"tensor(21339.5098, device='cuda:0', grad_fn=<AddBackward0>)",26.745173745173744,14.663568670711527,2,2,"tensor(21339.5098, device='cuda:0', grad_fn=<AddBackward0>)",32.424710424710426,15.054883469268695,2,2
8,"tensor(21020.9805, device='cuda:0', grad_fn=<AddBackward0>)",20.83011583011583,13.792406692406692,2,2,"tensor(21020.9805, device='cuda:0', grad_fn=<AddBackward0>)",26.328185328185327,14.522949990807135,2,2,"tensor(21020.9805, device='cuda:0', grad_fn=<AddBackward0>)",32.15057915057915,14.926558241148024,2,2
9,"tensor(20745.4941, device='cuda:0', grad_fn=<AddBackward0>)",20.57915057915058,13.56853281853282,2,2,"tensor(20745.4941, device='cuda:0', grad_fn=<AddBackward0>)",26.073359073359075,14.30443096157382,2,2,"tensor(20745.4941, device='cuda:0', grad_fn=<AddBackward0>)",31.849420849420852,14.70638215543125,2,2
