Epoch,Train Loss,Recall@5,MRR5,Best Epoch for Recall@5,Best Epoch for MRR5,Train Loss,Recall@10,MRR10,Best Epoch for Recall@10,Best Epoch for MRR10,Train Loss,Recall@20,MRR20,Best Epoch for Recall@20,Best Epoch for MRR20
0,"tensor(44094.5508, device='cuda:0', grad_fn=<AddBackward0>)",24.839080459770116,13.932129173508484,0,0,"tensor(44094.5508, device='cuda:0', grad_fn=<AddBackward0>)",36.07717569786536,15.423247191596944,0,0,"tensor(44094.5508, device='cuda:0', grad_fn=<AddBackward0>)",49.20525451559934,16.331468146981383,0,0
1,"tensor(40606.0859, device='cuda:0', grad_fn=<AddBackward0>)",25.88669950738916,14.510344827586202,1,1,"tensor(40606.0859, device='cuda:0', grad_fn=<AddBackward0>)",37.50574712643678,16.045591914926895,1,1,"tensor(40606.0859, device='cuda:0', grad_fn=<AddBackward0>)",50.894909688013136,16.9666734045625,1,1
2,"tensor(39770.3242, device='cuda:0', grad_fn=<AddBackward0>)",26.52216748768473,14.841133004926107,2,2,"tensor(39770.3242, device='cuda:0', grad_fn=<AddBackward0>)",37.983579638752055,16.351509109390886,2,2,"tensor(39770.3242, device='cuda:0', grad_fn=<AddBackward0>)",51.476190476190474,17.284755691274963,2,2
3,"tensor(39283.6367, device='cuda:0', grad_fn=<AddBackward0>)",26.688013136288998,15.01893814997263,3,3,"tensor(39283.6367, device='cuda:0', grad_fn=<AddBackward0>)",38.2495894909688,16.555880053170693,3,3,"tensor(39283.6367, device='cuda:0', grad_fn=<AddBackward0>)",51.66009852216749,17.483221218922733,3,3
4,"tensor(38937.2852, device='cuda:0', grad_fn=<AddBackward0>)",27.101806239737275,15.237520525451561,4,4,"tensor(38937.2852, device='cuda:0', grad_fn=<AddBackward0>)",38.70935960591133,16.77359123726119,4,4,"tensor(38937.2852, device='cuda:0', grad_fn=<AddBackward0>)",52.17569786535303,17.703519699197155,4,4
5,"tensor(38664.8945, device='cuda:0', grad_fn=<AddBackward0>)",27.00985221674877,15.208565955117678,4,4,"tensor(38664.8945, device='cuda:0', grad_fn=<AddBackward0>)",38.793103448275865,16.767892980947163,5,4,"tensor(38664.8945, device='cuda:0', grad_fn=<AddBackward0>)",52.20032840722496,17.69594683908956,5,4
6,"tensor(38432.1055, device='cuda:0', grad_fn=<AddBackward0>)",27.175697865353037,15.284564860426928,6,6,"tensor(38432.1055, device='cuda:0', grad_fn=<AddBackward0>)",38.912972085385874,16.84579325983267,6,6,"tensor(38432.1055, device='cuda:0', grad_fn=<AddBackward0>)",52.44991789819377,17.77861775525553,6,6
7,"tensor(38249.4766, device='cuda:0', grad_fn=<AddBackward0>)",27.509031198686372,15.4128078817734,7,7,"tensor(38249.4766, device='cuda:0', grad_fn=<AddBackward0>)",39.297208538587846,16.976991294602133,7,7,"tensor(38249.4766, device='cuda:0', grad_fn=<AddBackward0>)",52.60591133004926,17.896719151104037,7,7
8,"tensor(38071.5977, device='cuda:0', grad_fn=<AddBackward0>)",27.558292282430212,15.496195949644227,8,8,"tensor(38071.5977, device='cuda:0', grad_fn=<AddBackward0>)",39.37110016420362,17.060871973310398,8,8,"tensor(38071.5977, device='cuda:0', grad_fn=<AddBackward0>)",52.70279146141215,17.983824927253796,8,8
9,"tensor(37954.3047, device='cuda:0', grad_fn=<AddBackward0>)",27.75205254515599,15.546496989600438,9,9,"tensor(37954.3047, device='cuda:0', grad_fn=<AddBackward0>)",39.47290640394089,17.0993842364532,9,9,"tensor(37954.3047, device='cuda:0', grad_fn=<AddBackward0>)",52.983579638752055,18.036679339113036,9,9
10,"tensor(37829.0312, device='cuda:0', grad_fn=<AddBackward0>)",28.029556650246306,15.612780514504653,10,10,"tensor(37829.0312, device='cuda:0', grad_fn=<AddBackward0>)",39.79802955665024,17.17342898845362,10,10,"tensor(37829.0312, device='cuda:0', grad_fn=<AddBackward0>)",53.13464696223317,18.09389872152782,10,10
11,"tensor(37735.3125, device='cuda:0', grad_fn=<AddBackward0>)",27.70114942528736,15.529064039408869,10,10,"tensor(37735.3125, device='cuda:0', grad_fn=<AddBackward0>)",39.61576354679803,17.103911564625854,10,10,"tensor(37735.3125, device='cuda:0', grad_fn=<AddBackward0>)",53.1592775041051,18.039613482817206,11,10
12,"tensor(37636.9727, device='cuda:0', grad_fn=<AddBackward0>)",27.955665024630544,15.620607553366176,10,12,"tensor(37636.9727, device='cuda:0', grad_fn=<AddBackward0>)",39.70771756978653,17.17284319858211,10,10,"tensor(37636.9727, device='cuda:0', grad_fn=<AddBackward0>)",53.172413793103445,18.102606907885125,12,12
13,"tensor(37547.9258, device='cuda:0', grad_fn=<AddBackward0>)",28.11001642036125,15.726327312534211,13,13,"tensor(37547.9258, device='cuda:0', grad_fn=<AddBackward0>)",39.96387520525452,17.29844918810436,13,13,"tensor(37547.9258, device='cuda:0', grad_fn=<AddBackward0>)",53.489326765188835,18.234702573877335,13,13
14,"tensor(37480.8477, device='cuda:0', grad_fn=<AddBackward0>)",28.004926108374384,15.663409961685822,13,13,"tensor(37480.8477, device='cuda:0', grad_fn=<AddBackward0>)",40.04597701149425,17.2552962181041,14,13,"tensor(37480.8477, device='cuda:0', grad_fn=<AddBackward0>)",53.4679802955665,18.1824365216313,13,13
15,"tensor(37410.1875, device='cuda:0', grad_fn=<AddBackward0>)",28.192118226600986,15.75350301039956,15,15,"tensor(37410.1875, device='cuda:0', grad_fn=<AddBackward0>)",39.973727422003286,17.314916464670155,14,15,"tensor(37410.1875, device='cuda:0', grad_fn=<AddBackward0>)",53.42857142857142,18.244717382396015,13,15
16,"tensor(37344.6211, device='cuda:0', grad_fn=<AddBackward0>)",28.307060755336614,15.769786535303776,16,16,"tensor(37344.6211, device='cuda:0', grad_fn=<AddBackward0>)",40.20361247947455,17.349117079782104,16,16,"tensor(37344.6211, device='cuda:0', grad_fn=<AddBackward0>)",53.51559934318555,18.26867952607498,16,16
17,"tensor(37294.5547, device='cuda:0', grad_fn=<AddBackward0>)",28.154351395730703,15.765106732348114,16,16,"tensor(37294.5547, device='cuda:0', grad_fn=<AddBackward0>)",40.0623973727422,17.346510021633176,16,16,"tensor(37294.5547, device='cuda:0', grad_fn=<AddBackward0>)",53.6551724137931,18.285280562699388,17,17
18,"tensor(37235.0898, device='cuda:0', grad_fn=<AddBackward0>)",28.264367816091955,15.72383689107827,16,16,"tensor(37235.0898, device='cuda:0', grad_fn=<AddBackward0>)",40.11986863711002,17.297519352568614,16,16,"tensor(37235.0898, device='cuda:0', grad_fn=<AddBackward0>)",53.623973727422005,18.233508022704328,17,17
19,"tensor(37180.9805, device='cuda:0', grad_fn=<AddBackward0>)",28.185550082101805,15.729447181171318,16,16,"tensor(37180.9805, device='cuda:0', grad_fn=<AddBackward0>)",40.02463054187192,17.298528031902414,16,16,"tensor(37180.9805, device='cuda:0', grad_fn=<AddBackward0>)",53.62233169129721,18.236975619417585,17,17
20,"tensor(37135.5703, device='cuda:0', grad_fn=<AddBackward0>)",28.200328407224962,15.731581828133551,16,16,"tensor(37135.5703, device='cuda:0', grad_fn=<AddBackward0>)",40.07553366174056,17.302536033570515,16,16,"tensor(37135.5703, device='cuda:0', grad_fn=<AddBackward0>)",53.51724137931034,18.231032409480687,17,17
21,"tensor(37072.6055, device='cuda:0', grad_fn=<AddBackward0>)",28.30870279146141,15.82405582922824,21,21,"tensor(37072.6055, device='cuda:0', grad_fn=<AddBackward0>)",40.2183908045977,17.400203951312328,21,21,"tensor(37072.6055, device='cuda:0', grad_fn=<AddBackward0>)",53.576354679802954,18.32349913881735,17,21
22,"tensor(37047.6016, device='cuda:0', grad_fn=<AddBackward0>)",28.164203612479476,15.813300492610841,21,21,"tensor(37047.6016, device='cuda:0', grad_fn=<AddBackward0>)",40.18226600985222,17.40474431151771,21,22,"tensor(37047.6016, device='cuda:0', grad_fn=<AddBackward0>)",53.532019704433495,18.329942702187587,17,22
