Epoch,Train Loss,Recall@5,MRR5,Best Epoch for Recall@5,Best Epoch for MRR5,Train Loss,Recall@10,MRR10,Best Epoch for Recall@10,Best Epoch for MRR10,Train Loss,Recall@20,MRR20,Best Epoch for Recall@20,Best Epoch for MRR20
0,"tensor(30191.6289, device='cuda:1', grad_fn=<AddBackward0>)",22.81081081081081,15.222972972972975,0,0,"tensor(30191.6289, device='cuda:1', grad_fn=<AddBackward0>)",28.077220077220076,15.92999785499786,0,0,"tensor(30191.6289, device='cuda:1', grad_fn=<AddBackward0>)",33.227799227799224,16.287797866131566,0,0
1,"tensor(25946.2988, device='cuda:1', grad_fn=<AddBackward0>)",23.115830115830114,15.414800514800515,1,1,"tensor(25946.2988, device='cuda:1', grad_fn=<AddBackward0>)",28.803088803088805,16.178166942452656,1,1,"tensor(25946.2988, device='cuda:1', grad_fn=<AddBackward0>)",34.45945945945946,16.57399256104475,1,1
2,"tensor(24229.2637, device='cuda:1', grad_fn=<AddBackward0>)",23.386100386100388,15.407528957528957,2,1,"tensor(24229.2637, device='cuda:1', grad_fn=<AddBackward0>)",29.277992277992276,16.192311699454557,2,2,"tensor(24229.2637, device='cuda:1', grad_fn=<AddBackward0>)",35.115830115830114,16.596232692014425,2,2
3,"tensor(23156.5762, device='cuda:1', grad_fn=<AddBackward0>)",23.776061776061777,15.698519948519948,3,3,"tensor(23156.5762, device='cuda:1', grad_fn=<AddBackward0>)",29.135135135135137,16.417723846295274,2,3,"tensor(23156.5762, device='cuda:1', grad_fn=<AddBackward0>)",35.08880308880309,16.83164150343496,2,3
4,"tensor(22440.4590, device='cuda:1', grad_fn=<AddBackward0>)",23.36679536679537,15.64877734877735,3,3,"tensor(22440.4590, device='cuda:1', grad_fn=<AddBackward0>)",29.305019305019304,16.441046148189002,4,4,"tensor(22440.4590, device='cuda:1', grad_fn=<AddBackward0>)",35.08880308880309,16.845681772528305,2,4
5,"tensor(21883.5137, device='cuda:1', grad_fn=<AddBackward0>)",23.482625482625483,15.482432432432432,3,3,"tensor(21883.5137, device='cuda:1', grad_fn=<AddBackward0>)",29.196911196911195,16.25661886376172,4,4,"tensor(21883.5137, device='cuda:1', grad_fn=<AddBackward0>)",35.37837837837838,16.686114424167275,5,4
6,"tensor(21460.3301, device='cuda:1', grad_fn=<AddBackward0>)",23.27027027027027,15.357078507078509,3,3,"tensor(21460.3301, device='cuda:1', grad_fn=<AddBackward0>)",29.254826254826256,16.16156156156156,4,4,"tensor(21460.3301, device='cuda:1', grad_fn=<AddBackward0>)",34.93822393822394,16.55808141226098,5,4
7,"tensor(21079.8242, device='cuda:1', grad_fn=<AddBackward0>)",22.953667953667953,15.229407979407977,3,3,"tensor(21079.8242, device='cuda:1', grad_fn=<AddBackward0>)",28.791505791505788,16.00901207329779,4,4,"tensor(21079.8242, device='cuda:1', grad_fn=<AddBackward0>)",34.389961389961385,16.399697084747945,5,4
8,"tensor(20735.7500, device='cuda:1', grad_fn=<AddBackward0>)",22.718146718146716,14.884749034749035,3,3,"tensor(20735.7500, device='cuda:1', grad_fn=<AddBackward0>)",28.38996138996139,15.64049457620886,4,4,"tensor(20735.7500, device='cuda:1', grad_fn=<AddBackward0>)",34.115830115830114,16.03630838364916,5,4
9,"tensor(20430.7930, device='cuda:1', grad_fn=<AddBackward0>)",22.374517374517374,14.625868725868724,3,3,"tensor(20430.7930, device='cuda:1', grad_fn=<AddBackward0>)",28.000000000000004,15.372387693816265,4,4,"tensor(20430.7930, device='cuda:1', grad_fn=<AddBackward0>)",33.61389961389961,15.758982804576569,5,4
