Epoch,Train Loss,Recall@5,MRR5,Best Epoch for Recall@5,Best Epoch for MRR5,Train Loss,Recall@10,MRR10,Best Epoch for Recall@10,Best Epoch for MRR10,Train Loss,Recall@20,MRR20,Best Epoch for Recall@20,Best Epoch for MRR20
0,"tensor(77429.1875, device='cuda:1', grad_fn=<AddBackward0>)",10.805339265850945,6.307248794957361,0,0,"tensor(77429.1875, device='cuda:1', grad_fn=<AddBackward0>)",15.35817575083426,6.9140098345604475,0,0,"tensor(77429.1875, device='cuda:1', grad_fn=<AddBackward0>)",20.410456062291434,7.263994106808362,0,0
1,"tensor(67904., device='cuda:1', grad_fn=<AddBackward0>)",11.53615127919911,6.712495365220615,1,1,"tensor(67904., device='cuda:1', grad_fn=<AddBackward0>)",16.390433815350388,7.355295566502465,1,1,"tensor(67904., device='cuda:1', grad_fn=<AddBackward0>)",21.7853170189099,7.726633464495322,1,1
2,"tensor(65694.0547, device='cuda:1', grad_fn=<AddBackward0>)",11.82091212458287,6.868223952539859,2,2,"tensor(65694.0547, device='cuda:1', grad_fn=<AddBackward0>)",16.715239154616242,7.52183025230856,2,2,"tensor(65694.0547, device='cuda:1', grad_fn=<AddBackward0>)",22.25361512791991,7.903548985043515,2,2
3,"tensor(64539.9961, device='cuda:1', grad_fn=<AddBackward0>)",12.0055617352614,6.976974416017796,3,3,"tensor(64539.9961, device='cuda:1', grad_fn=<AddBackward0>)",17.005561735261402,7.641332521143424,3,3,"tensor(64539.9961, device='cuda:1', grad_fn=<AddBackward0>)",22.659621802002224,8.030866269288776,3,3
4,"tensor(63697.2930, device='cuda:1', grad_fn=<AddBackward0>)",12.098998887652948,7.030700778642937,4,4,"tensor(63697.2930, device='cuda:1', grad_fn=<AddBackward0>)",17.052280311457174,7.691218196585273,4,4,"tensor(63697.2930, device='cuda:1', grad_fn=<AddBackward0>)",22.533926585094548,8.069008753785182,3,4
5,"tensor(63056.6641, device='cuda:1', grad_fn=<AddBackward0>)",12.236929922135706,7.043789395624768,5,5,"tensor(63056.6641, device='cuda:1', grad_fn=<AddBackward0>)",17.134593993325918,7.695645955823931,5,5,"tensor(63056.6641, device='cuda:1', grad_fn=<AddBackward0>)",22.768631813125694,8.081132014811937,5,5
6,"tensor(62611.5156, device='cuda:1', grad_fn=<AddBackward0>)",12.221357063403781,7.0254356692621425,5,5,"tensor(62611.5156, device='cuda:1', grad_fn=<AddBackward0>)",17.174638487208007,7.682672987622931,6,5,"tensor(62611.5156, device='cuda:1', grad_fn=<AddBackward0>)",22.798665183537263,8.07107006616459,6,5
7,"tensor(62187.5234, device='cuda:1', grad_fn=<AddBackward0>)",12.329254727474973,7.083963663329623,7,7,"tensor(62187.5234, device='cuda:1', grad_fn=<AddBackward0>)",17.157953281423804,7.724930699013011,6,7,"tensor(62187.5234, device='cuda:1', grad_fn=<AddBackward0>)",22.869855394883203,8.11958284862647,7,7
8,"tensor(61886.9727, device='cuda:1', grad_fn=<AddBackward0>)",12.418242491657397,7.136429365962183,8,8,"tensor(61886.9727, device='cuda:1', grad_fn=<AddBackward0>)",17.340378197997776,7.790681886399349,8,8,"tensor(61886.9727, device='cuda:1', grad_fn=<AddBackward0>)",22.95773081201335,8.177768662671996,8,8
9,"tensor(61617.0938, device='cuda:1', grad_fn=<AddBackward0>)",12.440489432703004,7.138134964775677,9,9,"tensor(61617.0938, device='cuda:1', grad_fn=<AddBackward0>)",17.292547274749722,7.780905591750975,8,8,"tensor(61617.0938, device='cuda:1', grad_fn=<AddBackward0>)",22.903225806451612,8.166859193470634,8,8
