Epoch,Train Loss,Recall@5,MRR5,Best Epoch for Recall@5,Best Epoch for MRR5,Train Loss,Recall@10,MRR10,Best Epoch for Recall@10,Best Epoch for MRR10,Train Loss,Recall@20,MRR20,Best Epoch for Recall@20,Best Epoch for MRR20
0,"tensor(44077.5586, device='cuda:0', grad_fn=<AddBackward0>)",24.876847290640395,13.924685276409415,0,0,"tensor(44077.5586, device='cuda:0', grad_fn=<AddBackward0>)",36.16912972085386,15.417290901034745,0,0,"tensor(44077.5586, device='cuda:0', grad_fn=<AddBackward0>)",49.4367816091954,16.33783440503823,0,0
1,"tensor(40843.2617, device='cuda:0', grad_fn=<AddBackward0>)",25.995073891625616,14.49009304871374,1,1,"tensor(40843.2617, device='cuda:0', grad_fn=<AddBackward0>)",37.389162561576356,15.996100815805248,1,1,"tensor(40843.2617, device='cuda:0', grad_fn=<AddBackward0>)",50.86535303776684,16.92298116887691,1,1
2,"tensor(40064.5430, device='cuda:0', grad_fn=<AddBackward0>)",26.436781609195403,14.776518883415434,2,2,"tensor(40064.5430, device='cuda:0', grad_fn=<AddBackward0>)",38.04926108374384,16.316139520942478,2,2,"tensor(40064.5430, device='cuda:0', grad_fn=<AddBackward0>)",51.39573070607554,17.23656881278128,2,2
3,"tensor(39592.9805, device='cuda:0', grad_fn=<AddBackward0>)",26.661740558292284,14.915982484948003,3,3,"tensor(39592.9805, device='cuda:0', grad_fn=<AddBackward0>)",38.38095238095238,16.46661453853572,3,3,"tensor(39592.9805, device='cuda:0', grad_fn=<AddBackward0>)",51.48440065681446,17.372151009325588,3,3
4,"tensor(39264.5547, device='cuda:0', grad_fn=<AddBackward0>)",26.623973727422,14.908347016967705,3,3,"tensor(39264.5547, device='cuda:0', grad_fn=<AddBackward0>)",38.40886699507389,16.471733520994604,4,4,"tensor(39264.5547, device='cuda:0', grad_fn=<AddBackward0>)",51.80295566502463,17.394851431731663,4,4
5,"tensor(39011.5352, device='cuda:0', grad_fn=<AddBackward0>)",27.114942528735632,15.152599890530924,5,5,"tensor(39011.5352, device='cuda:0', grad_fn=<AddBackward0>)",38.78981937602627,16.701879870722234,5,5,"tensor(39011.5352, device='cuda:0', grad_fn=<AddBackward0>)",52.07881773399015,17.62199611216563,5,5
6,"tensor(38812.2383, device='cuda:0', grad_fn=<AddBackward0>)",27.036124794745486,15.140859332238643,5,5,"tensor(38812.2383, device='cuda:0', grad_fn=<AddBackward0>)",38.91133004926108,16.71047123830375,6,6,"tensor(38812.2383, device='cuda:0', grad_fn=<AddBackward0>)",52.321839080459775,17.63637240376953,6,6
7,"tensor(38626.8828, device='cuda:0', grad_fn=<AddBackward0>)",27.101806239737275,15.196195949644226,5,7,"tensor(38626.8828, device='cuda:0', grad_fn=<AddBackward0>)",38.927750410509034,16.763767039382806,7,7,"tensor(38626.8828, device='cuda:0', grad_fn=<AddBackward0>)",52.34154351395731,17.68820786661077,7,7
8,"tensor(38483.3320, device='cuda:0', grad_fn=<AddBackward0>)",27.185550082101805,15.311795292829775,8,8,"tensor(38483.3320, device='cuda:0', grad_fn=<AddBackward0>)",38.97208538587849,16.873245236792034,8,8,"tensor(38483.3320, device='cuda:0', grad_fn=<AddBackward0>)",52.29228243021347,17.792037009963735,7,8
9,"tensor(38364.3984, device='cuda:0', grad_fn=<AddBackward0>)",27.3431855500821,15.316940339354131,9,9,"tensor(38364.3984, device='cuda:0', grad_fn=<AddBackward0>)",38.927750410509034,16.853502358797925,8,8,"tensor(38364.3984, device='cuda:0', grad_fn=<AddBackward0>)",52.518883415435134,17.793980473861208,9,9
10,"tensor(38234.5078, device='cuda:0', grad_fn=<AddBackward0>)",27.44499178981938,15.383251231527092,10,10,"tensor(38234.5078, device='cuda:0', grad_fn=<AddBackward0>)",39.28407224958949,16.953480204342274,10,10,"tensor(38234.5078, device='cuda:0', grad_fn=<AddBackward0>)",52.689655172413794,17.881979593153506,10,10
11,"tensor(38140.4727, device='cuda:0', grad_fn=<AddBackward0>)",27.413793103448274,15.339025725232622,10,10,"tensor(38140.4727, device='cuda:0', grad_fn=<AddBackward0>)",39.2824302134647,16.91329723460266,10,10,"tensor(38140.4727, device='cuda:0', grad_fn=<AddBackward0>)",52.66995073891626,17.842018277055033,10,10
12,"tensor(38035.2891, device='cuda:0', grad_fn=<AddBackward0>)",27.426929392446635,15.393130815544612,10,12,"tensor(38035.2891, device='cuda:0', grad_fn=<AddBackward0>)",39.32676518883416,16.970086923658346,12,12,"tensor(38035.2891, device='cuda:0', grad_fn=<AddBackward0>)",52.692939244663386,17.89591971123564,12,12
13,"tensor(37954., device='cuda:0', grad_fn=<AddBackward0>)",27.576354679802957,15.461111111111109,13,13,"tensor(37954., device='cuda:0', grad_fn=<AddBackward0>)",39.36781609195402,17.025871842990075,13,13,"tensor(37954., device='cuda:0', grad_fn=<AddBackward0>)",52.77668308702791,17.953843807775545,13,13
14,"tensor(37871.7031, device='cuda:0', grad_fn=<AddBackward0>)",27.55665024630542,15.451039956212373,13,13,"tensor(37871.7031, device='cuda:0', grad_fn=<AddBackward0>)",39.38423645320197,17.018065003779288,14,13,"tensor(37871.7031, device='cuda:0', grad_fn=<AddBackward0>)",52.804597701149426,17.946296887264797,14,13
15,"tensor(37789.6484, device='cuda:0', grad_fn=<AddBackward0>)",27.532019704433498,15.444745484400654,13,13,"tensor(37789.6484, device='cuda:0', grad_fn=<AddBackward0>)",39.31691297208539,17.009630672192248,14,13,"tensor(37789.6484, device='cuda:0', grad_fn=<AddBackward0>)",52.64860426929392,17.931513218137805,14,13
16,"tensor(37730.3906, device='cuda:0', grad_fn=<AddBackward0>)",27.469622331691294,15.456048166392991,13,13,"tensor(37730.3906, device='cuda:0', grad_fn=<AddBackward0>)",39.39244663382595,17.038664086324186,16,16,"tensor(37730.3906, device='cuda:0', grad_fn=<AddBackward0>)",52.704433497536954,17.958565869959024,14,16
17,"tensor(37676.4609, device='cuda:0', grad_fn=<AddBackward0>)",27.51067323481117,15.441324575807332,13,13,"tensor(37676.4609, device='cuda:0', grad_fn=<AddBackward0>)",39.39080459770115,17.017441421012844,16,16,"tensor(37676.4609, device='cuda:0', grad_fn=<AddBackward0>)",52.704433497536954,17.937280982390718,14,16
18,"tensor(37612.1875, device='cuda:0', grad_fn=<AddBackward0>)",27.6863711001642,15.561220580186097,18,18,"tensor(37612.1875, device='cuda:0', grad_fn=<AddBackward0>)",39.4679802955665,17.125336878046234,18,18,"tensor(37612.1875, device='cuda:0', grad_fn=<AddBackward0>)",52.88669950738917,18.055574201090757,18,18
