Epoch,Train Loss,Recall@5,MRR5,Best Epoch for Recall@5,Best Epoch for MRR5,Train Loss,Recall@10,MRR10,Best Epoch for Recall@10,Best Epoch for MRR10,Train Loss,Recall@20,MRR20,Best Epoch for Recall@20,Best Epoch for MRR20
0,"tensor(27571.2891, device='cuda:0', grad_fn=<AddBackward0>)",37.74342105263158,25.735307017543857,0,0,"tensor(27571.2891, device='cuda:0', grad_fn=<AddBackward0>)",45.493421052631575,26.7796835839599,0,0,"tensor(27571.2891, device='cuda:0', grad_fn=<AddBackward0>)",53.381578947368425,27.32767316843668,0,0
1,"tensor(23812.6543, device='cuda:0', grad_fn=<AddBackward0>)",39.30921052631579,26.516776315789475,1,1,"tensor(23812.6543, device='cuda:0', grad_fn=<AddBackward0>)",47.16447368421053,27.583087928153716,1,1,"tensor(23812.6543, device='cuda:0', grad_fn=<AddBackward0>)",55.01973684210526,28.130078496709686,1,1
2,"tensor(23069.2285, device='cuda:0', grad_fn=<AddBackward0>)",39.81578947368421,27.05997807017544,2,2,"tensor(23069.2285, device='cuda:0', grad_fn=<AddBackward0>)",47.703947368421055,28.11384189640769,2,2,"tensor(23069.2285, device='cuda:0', grad_fn=<AddBackward0>)",55.41447368421053,28.650375709918237,2,2
3,"tensor(22657.2207, device='cuda:0', grad_fn=<AddBackward0>)",40.223684210526315,26.920394736842102,3,2,"tensor(22657.2207, device='cuda:0', grad_fn=<AddBackward0>)",48.125,27.978051900584795,3,2,"tensor(22657.2207, device='cuda:0', grad_fn=<AddBackward0>)",55.75657894736842,28.50595905650824,3,2
4,"tensor(22365.5156, device='cuda:0', grad_fn=<AddBackward0>)",40.28947368421053,26.907236842105263,4,2,"tensor(22365.5156, device='cuda:0', grad_fn=<AddBackward0>)",48.125,27.956315267335007,3,2,"tensor(22365.5156, device='cuda:0', grad_fn=<AddBackward0>)",55.684210526315795,28.48396945456278,3,2
5,"tensor(22137.9277, device='cuda:0', grad_fn=<AddBackward0>)",40.125,26.98804824561404,4,2,"tensor(22137.9277, device='cuda:0', grad_fn=<AddBackward0>)",47.99342105263158,28.03975824979114,3,2,"tensor(22137.9277, device='cuda:0', grad_fn=<AddBackward0>)",56.19736842105263,28.60966717493599,5,2
6,"tensor(21966.7676, device='cuda:0', grad_fn=<AddBackward0>)",40.243421052631575,27.083552631578943,4,6,"tensor(21966.7676, device='cuda:0', grad_fn=<AddBackward0>)",48.026315789473685,28.129090956558063,3,6,"tensor(21966.7676, device='cuda:0', grad_fn=<AddBackward0>)",56.05263157894736,28.688261093798207,5,6
7,"tensor(21844.1445, device='cuda:0', grad_fn=<AddBackward0>)",40.0921052631579,27.07894736842105,4,6,"tensor(21844.1445, device='cuda:0', grad_fn=<AddBackward0>)",48.0,28.14306860902256,3,7,"tensor(21844.1445, device='cuda:0', grad_fn=<AddBackward0>)",56.00000000000001,28.70192191796829,5,7
8,"tensor(21714.1504, device='cuda:0', grad_fn=<AddBackward0>)",40.06578947368421,26.953728070175444,4,6,"tensor(21714.1504, device='cuda:0', grad_fn=<AddBackward0>)",48.03947368421053,28.025984231411865,3,7,"tensor(21714.1504, device='cuda:0', grad_fn=<AddBackward0>)",55.901315789473685,28.57670689204903,5,7
9,"tensor(21605.1602, device='cuda:0', grad_fn=<AddBackward0>)",40.1578947368421,27.23168859649123,4,9,"tensor(21605.1602, device='cuda:0', grad_fn=<AddBackward0>)",47.85526315789474,28.258395989974932,3,9,"tensor(21605.1602, device='cuda:0', grad_fn=<AddBackward0>)",55.83552631578947,28.813795812573723,5,9
10,"tensor(21539.9434, device='cuda:0', grad_fn=<AddBackward0>)",40.18421052631579,27.228837719298244,4,9,"tensor(21539.9434, device='cuda:0', grad_fn=<AddBackward0>)",47.99342105263158,28.27487729741019,3,10,"tensor(21539.9434, device='cuda:0', grad_fn=<AddBackward0>)",55.85526315789474,28.82553277704792,5,10
11,"tensor(21447.0820, device='cuda:0', grad_fn=<AddBackward0>)",40.01315789473684,27.095833333333335,4,9,"tensor(21447.0820, device='cuda:0', grad_fn=<AddBackward0>)",47.868421052631575,28.145300751879702,3,10,"tensor(21447.0820, device='cuda:0', grad_fn=<AddBackward0>)",55.82236842105262,28.701435246882685,5,10
12,"tensor(21388.0566, device='cuda:0', grad_fn=<AddBackward0>)",39.796052631578945,26.980701754385965,4,9,"tensor(21388.0566, device='cuda:0', grad_fn=<AddBackward0>)",47.67763157894736,28.050044381787803,3,10,"tensor(21388.0566, device='cuda:0', grad_fn=<AddBackward0>)",55.82236842105262,28.617920228246174,5,10
13,"tensor(21316.3945, device='cuda:0', grad_fn=<AddBackward0>)",39.73026315789473,26.874013157894737,4,9,"tensor(21316.3945, device='cuda:0', grad_fn=<AddBackward0>)",47.76315789473684,27.9515429197995,3,10,"tensor(21316.3945, device='cuda:0', grad_fn=<AddBackward0>)",55.875,28.52012053462171,5,10
14,"tensor(21238.0254, device='cuda:0', grad_fn=<AddBackward0>)",39.5921052631579,26.755811403508766,4,9,"tensor(21238.0254, device='cuda:0', grad_fn=<AddBackward0>)",47.690789473684205,27.83825449039265,3,10,"tensor(21238.0254, device='cuda:0', grad_fn=<AddBackward0>)",55.875,28.40887552552887,5,10
15,"tensor(21192.9219, device='cuda:0', grad_fn=<AddBackward0>)",39.71710526315789,27.166666666666668,4,9,"tensor(21192.9219, device='cuda:0', grad_fn=<AddBackward0>)",47.61184210526316,28.232505743525476,3,10,"tensor(21192.9219, device='cuda:0', grad_fn=<AddBackward0>)",55.56578947368421,28.788450827689005,5,10
16,"tensor(21152.9648, device='cuda:0', grad_fn=<AddBackward0>)",39.578947368421055,26.971929824561403,4,9,"tensor(21152.9648, device='cuda:0', grad_fn=<AddBackward0>)",47.58552631578947,28.049329051796157,3,10,"tensor(21152.9648, device='cuda:0', grad_fn=<AddBackward0>)",55.506578947368425,28.599827342273265,5,10
17,"tensor(21068.5723, device='cuda:0', grad_fn=<AddBackward0>)",39.5921052631579,27.40416666666667,4,17,"tensor(21068.5723, device='cuda:0', grad_fn=<AddBackward0>)",47.348684210526315,28.44431913116124,3,17,"tensor(21068.5723, device='cuda:0', grad_fn=<AddBackward0>)",55.08552631578948,28.985236510085016,5,17
18,"tensor(21042.2559, device='cuda:0', grad_fn=<AddBackward0>)",39.61184210526316,27.132456140350875,4,17,"tensor(21042.2559, device='cuda:0', grad_fn=<AddBackward0>)",47.67763157894736,28.214766081871346,3,17,"tensor(21042.2559, device='cuda:0', grad_fn=<AddBackward0>)",55.585526315789465,28.770704273208548,5,17
19,"tensor(21010.8926, device='cuda:0', grad_fn=<AddBackward0>)",39.598684210526315,27.160964912280704,4,17,"tensor(21010.8926, device='cuda:0', grad_fn=<AddBackward0>)",47.51973684210527,28.22609126984127,3,17,"tensor(21010.8926, device='cuda:0', grad_fn=<AddBackward0>)",55.493421052631575,28.78387651548296,5,17
20,"tensor(20963.6016, device='cuda:0', grad_fn=<AddBackward0>)",39.51315789473684,27.217324561403505,4,17,"tensor(20963.6016, device='cuda:0', grad_fn=<AddBackward0>)",47.49342105263158,28.287353801169584,3,17,"tensor(20963.6016, device='cuda:0', grad_fn=<AddBackward0>)",55.34868421052631,28.836532148260186,5,17
21,"tensor(20918.5879, device='cuda:0', grad_fn=<AddBackward0>)",39.28947368421053,27.073574561403507,4,17,"tensor(20918.5879, device='cuda:0', grad_fn=<AddBackward0>)",47.421052631578945,28.16781537176274,3,17,"tensor(20918.5879, device='cuda:0', grad_fn=<AddBackward0>)",55.24342105263158,28.712858061949643,5,17
22,"tensor(20892.2344, device='cuda:0', grad_fn=<AddBackward0>)",39.32236842105263,27.091008771929832,4,17,"tensor(20892.2344, device='cuda:0', grad_fn=<AddBackward0>)",47.48026315789474,28.18111424394319,3,17,"tensor(20892.2344, device='cuda:0', grad_fn=<AddBackward0>)",55.19736842105263,28.719822617901126,5,17
23,"tensor(20856.9043, device='cuda:0', grad_fn=<AddBackward0>)",39.453947368421055,27.197258771929828,4,17,"tensor(20856.9043, device='cuda:0', grad_fn=<AddBackward0>)",47.3421052631579,28.254495614035086,3,17,"tensor(20856.9043, device='cuda:0', grad_fn=<AddBackward0>)",55.16447368421053,28.79856179399421,5,17
24,"tensor(20809.9922, device='cuda:0', grad_fn=<AddBackward0>)",39.243421052631575,26.978508771929828,4,17,"tensor(20809.9922, device='cuda:0', grad_fn=<AddBackward0>)",47.26315789473684,28.053754177109436,3,17,"tensor(20809.9922, device='cuda:0', grad_fn=<AddBackward0>)",55.125,28.598703433084033,5,17
25,"tensor(20779.0508, device='cuda:0', grad_fn=<AddBackward0>)",39.26315789473684,26.97620614035088,4,17,"tensor(20779.0508, device='cuda:0', grad_fn=<AddBackward0>)",47.10526315789474,28.02418546365915,3,17,"tensor(20779.0508, device='cuda:0', grad_fn=<AddBackward0>)",54.993421052631575,28.574244355626494,5,17
26,"tensor(20764.5547, device='cuda:0', grad_fn=<AddBackward0>)",39.30263157894737,27.14484649122807,4,17,"tensor(20764.5547, device='cuda:0', grad_fn=<AddBackward0>)",47.19736842105263,28.19772086466165,3,17,"tensor(20764.5547, device='cuda:0', grad_fn=<AddBackward0>)",55.151315789473685,28.751267489893596,5,17
27,"tensor(20693.7715, device='cuda:0', grad_fn=<AddBackward0>)",39.36842105263158,27.123903508771935,4,17,"tensor(20693.7715, device='cuda:0', grad_fn=<AddBackward0>)",47.18421052631579,28.16782320384294,3,17,"tensor(20693.7715, device='cuda:0', grad_fn=<AddBackward0>)",55.07894736842105,28.714784614097944,5,17
28,"tensor(20692.9023, device='cuda:0', grad_fn=<AddBackward0>)",39.23684210526316,27.02642543859649,4,17,"tensor(20692.9023, device='cuda:0', grad_fn=<AddBackward0>)",47.03947368421053,28.068379281537176,3,17,"tensor(20692.9023, device='cuda:0', grad_fn=<AddBackward0>)",54.87499999999999,28.61254383762251,5,17
29,"tensor(20654.4297, device='cuda:0', grad_fn=<AddBackward0>)",39.19078947368421,26.87423245614035,4,17,"tensor(20654.4297, device='cuda:0', grad_fn=<AddBackward0>)",46.98684210526316,27.91975511695906,3,17,"tensor(20654.4297, device='cuda:0', grad_fn=<AddBackward0>)",55.00000000000001,28.471852845619296,5,17
